,text,id,created_at,entities
0,RT @NatRevImmunol: See new Progress article from Zeyu Chen and @EJohnWherry on T cell responses in patients with COVID-19 https://t.co/ytWI…,1290437286774153216,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'NatRevImmunol'}, {'start': 63, 'end': 75, 'username': 'EJohnWherry'}], 'annotations': [{'start': 49, 'end': 57, 'probability': 0.8884, 'type': 'Person', 'normalized_text': 'Zeyu Chen'}]}"
1,RT @Napsterrific: Senate GOP just gonna stand by and let them wreck the post office to try and win an election. Where is Mr Bible Verse Mar…,1290437286702743554,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Napsterrific'}], 'annotations': [{'start': 18, 'end': 27, 'probability': 0.4085, 'type': 'Organization', 'normalized_text': 'Senate GOP'}, {'start': 121, 'end': 138, 'probability': 0.3381, 'type': 'Person', 'normalized_text': 'Mr Bible Verse Mar'}]}"
2,"@MJowen174 ""Get us out of this COVID coma"", says wealthy man from gated community in Florida.",1290437286589599744,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'MJowen174'}], 'annotations': [{'start': 85, 'end': 91, 'probability': 0.9992, 'type': 'Place', 'normalized_text': 'Florida'}]}"
3,"RT @AndyBiotech: #COVID19 REGN-COV2 shows efficacy as measured by reduced viral load in both upper and lower airways, reduced virus induced…",1290437286585421826,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'AndyBiotech'}], 'hashtags': [{'start': 17, 'end': 25, 'tag': 'COVID19'}]}"
4,El 2020 se enfermó de coronavirus,1290437286421725184,2020-08-03T23:59:58.000Z,None
5,"RT @AlertaNews24: 🇷🇺 | URGENTE - CORONAVIRUS: Rusia suministrará el fármaco Avifavir para tratamiento de la Covid-19 a Argentina, Bolivia,…",1290437286102958080,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AlertaNews24'}], 'annotations': [{'start': 48, 'end': 52, 'probability': 0.7707, 'type': 'Place', 'normalized_text': 'Rusia'}, {'start': 110, 'end': 114, 'probability': 0.5206, 'type': 'Organization', 'normalized_text': 'Covid'}, {'start': 121, 'end': 129, 'probability': 0.934, 'type': 'Place', 'normalized_text': 'Argentina'}, {'start': 132, 'end': 138, 'probability': 0.9207, 'type': 'Place', 'normalized_text': 'Bolivia'}]}"
6,"RT @ResisterSis20: 260 employees in Georgia school district have tested positive for Covid-19 or been exposed - CNN

I can't wait to go bac…",1290437286014922753,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'ResisterSis20'}], 'annotations': [{'start': 36, 'end': 42, 'probability': 0.9732, 'type': 'Place', 'normalized_text': 'Georgia'}, {'start': 112, 'end': 114, 'probability': 0.9079, 'type': 'Organization', 'normalized_text': 'CNN'}]}"
7,"RT @AscencioMn: Por aumento de casos de COVID-19, Jacona intensifica acciones preventivas.
#MeganoticiasZam_Salud
#MeganoticiasMor_Salud
@M…",1290437285834620931,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'AscencioMn'}], 'annotations': [{'start': 40, 'end': 44, 'probability': 0.3911, 'type': 'Place', 'normalized_text': 'COVID'}, {'start': 50, 'end': 55, 'probability': 0.3657, 'type': 'Place', 'normalized_text': 'Jacona'}], 'hashtags': [{'start': 91, 'end': 113, 'tag': 'MeganoticiasZam_Salud'}, {'start': 114, 'end': 136, 'tag': 'MeganoticiasMor_Salud'}]}"
8,RT @iNut: COVID19を不必要に怖がらないために知っておくべきことが全部書いてある、これお金出さなくて読んでいいんですか？って不安になるクオリティ https://t.co/MR31owVTlO,1290437285826174981,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 8, 'username': 'iNut'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/MR31owVTlO', 'expanded_url': 'https://www.covid19-taskforce.jp/wp-content/uploads/2020/07/coronanews0726.pdf', 'display_url': 'covid19-taskforce.jp/wp-content/upl…'}]}"
9,RT @NoticiasONU: El director de la Organización Mundial de la Salud @DrTedros advierte que hasta ahora no hay ninguna “bala de plata” contr…,1290437285708800000,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'NoticiasONU'}, {'start': 68, 'end': 77, 'username': 'DrTedros'}], 'annotations': [{'start': 35, 'end': 66, 'probability': 0.5845, 'type': 'Organization', 'normalized_text': 'Organización Mundial de la Salud'}]}"
