,text,id,created_at,entities
0,"RT @BoliqueAna: EXPECTED 'HIGH VOLUME’ of COVID-19 VACCINATION 
ADVERSE REACTIONS. 
👇🏽 https://t.co/QpUgT3xyiN",1334648606112899073,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'BoliqueAna'}], 'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/QpUgT3xyiN', 'expanded_url': 'https://twitter.com/BoliqueAna/status/1334638159414534144/photo/1', 'display_url': 'pic.twitter.com/QpUgT3xyiN'}]}"
1,"RT @Mardigroan: Area 51

Scientist: I notice you have a lot of what appear to be tentacles, antennae, and other spaghetti shaped appendages…",1334648605987151872,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Mardigroan'}]}"
2,@Shayskie Well ur on a rock during Covid 🤔,1334648605957910529,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Shayskie'}]}"
3,RT @hsdaily: We understand everyone’s excited and curious about Harry’s movie but please consider that you’re showing up to people’s workpl…,1334648605798363138,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'hsdaily'}], 'annotations': [{'start': 64, 'end': 68, 'probability': 0.9516, 'type': 'Person', 'normalized_text': 'Harry'}]}"
4,"RT @Bethershh: Great evening talking with MSYPs about their new manifesto and to discuss concessionary travel, the under 19s commitment, th…",1334648605718818819,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Bethershh'}], 'annotations': [{'start': 42, 'end': 46, 'probability': 0.6149, 'type': 'Person', 'normalized_text': 'MSYPs'}]}"
5,Texas Tech football coach Matt Wells tests positive for COVID-19 https://t.co/538Ijlfgmm,1334648605630746626,2020-12-03T23:59:58.000Z,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/538Ijlfgmm', 'expanded_url': 'http://pinsider.co.in/2020/12/03/texas-tech-football-coach-matt-wells-tests-positive-for-covid-19/', 'display_url': 'pinsider.co.in/2020/12/03/tex…'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.809, 'type': 'Organization', 'normalized_text': 'Texas Tech'}, {'start': 26, 'end': 35, 'probability': 0.9696, 'type': 'Person', 'normalized_text': 'Matt Wells'}]}"
6,RT @Atksufi: Covid-19 would have been over if we let these niggas handle it https://t.co/x1hTohxe4v,1334648605567676417,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'atksufi'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/x1hTohxe4v', 'expanded_url': 'https://twitter.com/Atksufi/status/1334170810697871362/photo/1', 'display_url': 'pic.twitter.com/x1hTohxe4v'}]}"
7,"RT @Mippcivzla: 📌 𝙄𝙣𝙛𝙤́𝙧𝙢𝙖𝙩𝙚 🧬
Reduce el riesgo de infección del Coronavirus (Covid-19) con las siguientes medidas 👍😷 al ir en un vehículo…",1334648605509099520,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Mippcivzla'}], 'annotations': [{'start': 76, 'end': 86, 'probability': 0.2703, 'type': 'Place', 'normalized_text': 'Coronavirus'}]}"
8,"RT @eugenegu: Some people literally use their phone, containing many microchips tracking their every move with a whole GPS satellite networ…",1334648605408456706,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'eugenegu'}]}"
9,"RT @leiemcampo: COVID, Fifagate, Platini.. negacionismo se nega a enxergar o óbvio. No #jurihistoria, colunista @andreikampff fala da situa…",1334648605282594821,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'leiemcampo'}, {'start': 112, 'end': 125, 'username': 'AndreiKampff'}], 'annotations': [{'start': 23, 'end': 30, 'probability': 0.8511, 'type': 'Person', 'normalized_text': 'Fifagate'}, {'start': 33, 'end': 39, 'probability': 0.9015, 'type': 'Person', 'normalized_text': 'Platini'}], 'hashtags': [{'start': 87, 'end': 100, 'tag': 'jurihistoria'}]}"
10,I’m so sad lmao I can’t get this promotion because of covid. I busted my ass AND succeeded only to be told there’s not enough money to actually give me the promotion lmao,1334648605081300995,2020-12-03T23:59:58.000Z,None
11,"RT @__directioner00: ""Io posso toccarti adesso""

Tutti noi quando non ci sarà più il coronavirus:
#HarryPotter
#harrypottereilcalicedifuoco…",1334648605043548160,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': '__directioner00'}], 'hashtags': [{'start': 98, 'end': 110, 'tag': 'HarryPotter'}, {'start': 111, 'end': 139, 'tag': 'harrypottereilcalicedifuoco'}]}"
