,text,id,created_at,entities
0,"RT @venzq: Dr @Swamy39 , Paid agents and 3rd rate journos from @OpIndia_com lead by an Abuse Putri Nupur , have twisted your statement on C…",1345882630206590977,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 9, 'username': 'venzq'}, {'start': 14, 'end': 22, 'username': 'Swamy39'}, {'start': 63, 'end': 75, 'username': 'OpIndia_com'}], 'annotations': [{'start': 93, 'end': 103, 'probability': 0.6596, 'type': 'Person', 'normalized_text': 'Putri Nupur'}]}"
1,"RT @ItsMa____: How to treat Covid at home ... this was shared on a Covid survivor group...

HOW TO FIGHT COVID AT HOME
No one ever talks ab…",1345882630168981510,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'ItsMa____'}], 'annotations': [{'start': 28, 'end': 32, 'probability': 0.5017, 'type': 'Person', 'normalized_text': 'Covid'}]}"
2,"RT @EcoMineriaVE: #Recuerda ⚠️ El uso correcto del tapabocas es clave para prevenir el contagio de #Covid19 😷 
#2021Bicentenario 
@NicolasM…",1345882630143811584,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 18, 'end': 27, 'tag': 'Recuerda'}, {'start': 99, 'end': 107, 'tag': 'Covid19'}, {'start': 111, 'end': 128, 'tag': '2021Bicentenario'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'EcoMineriaVE'}]}"
3,"RT @Mippcivzla: #EnVideo 📹 | Paciente de coronavirus, del estado Cojedes, recuperada: ""Celebro que Venezuela atiende de manera continua a t…",1345882630110261250,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 16, 'end': 24, 'tag': 'EnVideo'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Mippcivzla'}], 'annotations': [{'start': 66, 'end': 72, 'probability': 0.6003, 'type': 'Place', 'normalized_text': 'Cojedes'}, {'start': 100, 'end': 108, 'probability': 0.9738, 'type': 'Place', 'normalized_text': 'Venezuela'}]}"
4,"RT @johnrich: If @SpeakerPelosi can call in a COVID POSITIVE congresswoman to the People's House to vote for her today, then I don't want t…",1345882630001143809,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'johnrich'}, {'start': 17, 'end': 31, 'username': 'SpeakerPelosi'}]}"
5,"RT @Kit_Yates_Maths: This is one of the most astonishing moments of any interview throughout the pandemic.

Johnson genuinely does not unde…",1345882629887946753,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'Kit_Yates_Maths'}], 'annotations': [{'start': 108, 'end': 114, 'probability': 0.6047, 'type': 'Person', 'normalized_text': 'Johnson'}]}"
6,"2020 Year in Review, Dr. Embree interviewed on WRAL #COVID19, #GIMPubs + more! - https://t.co/iB5YmXoy6H https://t.co/jAIxB1xJCt",1345882629858594816,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 52, 'end': 60, 'tag': 'COVID19'}, {'start': 62, 'end': 70, 'tag': 'GIMPubs'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/iB5YmXoy6H', 'expanded_url': 'https://mailchi.mp/bdb650c78862/dgim-enews-dec-4177433', 'display_url': 'mailchi.mp/bdb650c78862/d…'}, {'start': 105, 'end': 128, 'url': 'https://t.co/jAIxB1xJCt', 'expanded_url': 'https://twitter.com/Duke_GIM/status/1345882629858594816/photo/1', 'display_url': 'pic.twitter.com/jAIxB1xJCt'}], 'annotations': [{'start': 21, 'end': 30, 'probability': 0.9332, 'type': 'Person', 'normalized_text': 'Dr. Embree'}]}"
7,#Donación Se realizaron 1.112 intervenciones frente a las 1.945 de 2019. El aislamiento obligatorio de varios meses por el coronavirus y la menor oferta de camas redundaron en la notable merma https://t.co/ztAmdubd9Z,1345882629439184896,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 0, 'end': 9, 'tag': 'Donación'}], 'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/ztAmdubd9Z', 'expanded_url': 'http://www.diariotag.com/noticias/sociedad/hubo-un-40-menos-de-trasplantes-en-la-argentina-en-2020-por-la-pandemia-de-covid', 'display_url': 'diariotag.com/noticias/socie…'}]}"
8,"RT @JenWilliamsMEN: Latest Covid infection rates for Greater Manchester, which are now rising faster than the English average https://t.co/…",1345882629304963075,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'JenWilliamsMEN'}], 'annotations': [{'start': 61, 'end': 70, 'probability': 0.3954, 'type': 'Place', 'normalized_text': 'Manchester'}]}"
9,@magalyperu Tuviste covid 19 o fue otro de tus berrinches?,1345882629107810305,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'magalyperu'}]}"
10,"RT @ItsMa____: How to treat Covid at home ... this was shared on a Covid survivor group...

HOW TO FIGHT COVID AT HOME
No one ever talks ab…",1345882628990373896,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'ItsMa____'}], 'annotations': [{'start': 28, 'end': 32, 'probability': 0.5017, 'type': 'Person', 'normalized_text': 'Covid'}]}"
