,text,id,created_at,entities
0,RT @BBCWorld: Coronavirus: Japan's mysteriously low virus death rate https://t.co/qFUdyNO1Ct,1279203262898434048,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'BBCWorld'}], 'annotations': [{'start': 27, 'end': 31, 'probability': 0.946, 'type': 'Place', 'normalized_text': 'Japan'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/qFUdyNO1Ct', 'expanded_url': 'https://bbc.in/2VI0Vc2', 'display_url': 'bbc.in/2VI0Vc2'}]}"
1,"RT @AlbertoRodNews: EN VIVO | Jorge Rodríguez casos por transmisión comunitaria: 51 de Zulia, 41 de caracas, 27 Bolívar, 21 Miranda, 15 Fal…",1279203262755999748,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AlbertoRodNews'}], 'annotations': [{'start': 30, 'end': 44, 'probability': 0.9967, 'type': 'Person', 'normalized_text': 'Jorge Rodríguez'}, {'start': 87, 'end': 91, 'probability': 0.6089, 'type': 'Place', 'normalized_text': 'Zulia'}, {'start': 112, 'end': 118, 'probability': 0.5627, 'type': 'Place', 'normalized_text': 'Bolívar'}]}"
2,"RT @HoustonOEM: Texas now mandates all residents to wear masks, punishable by a $250 fine. We depend on you this #4thofJuly to stop the spr…",1279203262575587329,2020-07-03T23:59:58.000Z,"{'hashtags': [{'start': 113, 'end': 123, 'tag': '4thofJuly'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'HoustonOEM'}], 'annotations': [{'start': 16, 'end': 20, 'probability': 0.9453, 'type': 'Place', 'normalized_text': 'Texas'}]}"
3,"RT @lorenhestrada: with cases of COVID spiking and lack of testing availability, here’s a website that will send you a testing kit in the m…",1279203262374113280,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'lorenhestrada'}]}"
4,"RT @RealDreylo: If corona didn’t happen, no one would have known Dreylo does music. Honestly",1279203262370123776,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'RealDreylo'}], 'annotations': [{'start': 65, 'end': 70, 'probability': 0.7288, 'type': 'Person', 'normalized_text': 'Dreylo'}]}"
5,"@SteveSchmidtSES Standing on land that belongs to the Sioux tribe, without permission from its original sovereign owners, bringing killer virus Covid-19 to the area (in the tradition of the European explorers), talking about how we need to remember our heritage and not ""cancel culture.""

Figures.",1279203262319808518,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 16, 'username': 'SteveSchmidtSES'}]}"
6,"vei a minha vó vendo o jornal kkkkkkkkkkkkkkkkk ""quem devia ter pegado esse covid era esse bolson*ro"" eu tô chorando",1279203262269358081,2020-07-03T23:59:58.000Z,None
7,RT @ABSCBNNews: To be paid until 2049: Philippines secures total of P386.6 billion for #COVID19 response https://t.co/kBi4GuLioq,1279203262126862336,2020-07-03T23:59:58.000Z,"{'hashtags': [{'start': 87, 'end': 95, 'tag': 'COVID19'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'ABSCBNNews'}], 'annotations': [{'start': 39, 'end': 49, 'probability': 0.9646, 'type': 'Place', 'normalized_text': 'Philippines'}], 'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/kBi4GuLioq', 'expanded_url': 'https://bit.ly/2YSa4AN', 'display_url': 'bit.ly/2YSa4AN'}]}"
8,RT @HaberRotaniz: Riyad’taki Covid-19’lu karı koca ambulans uçakla yurda getirildi https://t.co/HU0MQcZt9w,1279203262030401536,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'HaberRotaniz'}], 'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/HU0MQcZt9w', 'expanded_url': 'http://dlvr.it/RZsHZf', 'display_url': 'dlvr.it/RZsHZf'}]}"
9,"@EmbaMexCuba @EmbRusCuba @EmbEspCuba @CanEmbCuba Do not travel to Cuba, take care of your citizens, Cuba lies with Covid-19 figures
#NotTravelToCuba Cuiden sus Ciudadanos,Dictadura Cubana miente con Números del Covid-19",1279203262005198848,2020-07-03T23:59:58.000Z,"{'hashtags': [{'start': 132, 'end': 148, 'tag': 'NotTravelToCuba'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'EmbaMexCuba'}, {'start': 13, 'end': 24, 'username': 'EmbRusCuba'}, {'start': 25, 'end': 36, 'username': 'EmbEspCuba'}, {'start': 37, 'end': 48, 'username': 'CanEmbCuba'}], 'annotations': [{'start': 66, 'end': 69, 'probability': 0.5482, 'type': 'Place', 'normalized_text': 'Cuba'}]}"
10,"RT @Reuters: Brazil set to pass 1.5 million coronavirus cases, cities reopen anyway https://t.co/XfhEv0t1PF https://t.co/V55fSGW9FX",1279203262001004545,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters'}], 'annotations': [{'start': 13, 'end': 18, 'probability': 0.9821, 'type': 'Place', 'normalized_text': 'Brazil'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/XfhEv0t1PF', 'expanded_url': 'https://reut.rs/3dY9ea2', 'display_url': 'reut.rs/3dY9ea2'}, {'start': 108, 'end': 131, 'url': 'https://t.co/V55fSGW9FX', 'expanded_url': 'https://twitter.com/Reuters/status/1279198262113812481/photo/1', 'display_url': 'pic.twitter.com/V55fSGW9FX'}]}"
11,"RT @berlianidris: Berkat kepemimpinan pakde @jokowi, Indonesia akan selamatkan dunia dari virus Corona! 

https://t.co/Qp65PIult3",1279203261942136832,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'berlianidris'}, {'start': 44, 'end': 51, 'username': 'jokowi'}], 'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/Qp65PIult3', 'expanded_url': 'https://www.viva.co.id/berita/nasional/1226225-kementan-produksi-massal-kalung-antivirus-corona-bulan-depan', 'display_url': 'viva.co.id/berita/nasiona…'}]}"
12,"RT @KingOfSafari: I can't imagine celebrating the United States of America right now. We're an embarrassment, with our handling of the pand…",1279203261883584513,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'KingOfSafari'}], 'annotations': [{'start': 50, 'end': 73, 'probability': 0.9459, 'type': 'Place', 'normalized_text': 'United States of America'}]}"
13,RT @brithume: Well.  https://t.co/1NoNxc4lX2,1279203261405212673,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'brithume'}], 'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/1NoNxc4lX2', 'expanded_url': 'https://www.detroitnews.com/story/news/local/michigan/2020/07/02/michigan-henry-ford-health-study-finds-hydroxychloroquine-lowers-covid-19-death-rate/5365090002/', 'display_url': 'detroitnews.com/story/news/loc…'}]}"
14,"RT @kylegriffin1: At least eight Secret Service agents are currently holed up in a hotel in Phoenix, some suffering the flu-like coronaviru…",1279203261346648065,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'kylegriffin1'}], 'annotations': [{'start': 92, 'end': 98, 'probability': 0.9933, 'type': 'Place', 'normalized_text': 'Phoenix'}]}"
15,RT @AlbertoRodNews: EN VIVO | Jorge Rodríguez alertó que casi todas las parroquias del municipio Libertador han reportado casos diarios por…,1279203260944048128,2020-07-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AlbertoRodNews'}], 'annotations': [{'start': 30, 'end': 44, 'probability': 0.9981, 'type': 'Person', 'normalized_text': 'Jorge Rodríguez'}]}"
16,#QatarTurkey https://t.co/W6rROFrofV,1279203260507631616,2020-07-03T23:59:58.000Z,"{'hashtags': [{'start': 0, 'end': 12, 'tag': 'QatarTurkey'}], 'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/W6rROFrofV', 'expanded_url': 'https://www.aljazeera.com/news/2020/07/turkey-erdogan-heads-qatar-post-coronavirus-trip-200702094731588.html', 'display_url': 'aljazeera.com/news/2020/07/t…'}]}"
