,text,id,created_at,entities
0,"RT @AmyMcGrathKY: I’m social distancing for the same reasons I’m running for office. 

For the commonwealth. For the country. 
https://t.co…",1257097603126300672,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AmyMcGrathKY'}]}"
1,"RT @ldpsincomplejos: ""Covid-19, mes II: cacerolas contra Sánchez"" https://t.co/iZpcl9QNFZ",1257097602987888641,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'ldpsincomplejos'}], 'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/iZpcl9QNFZ', 'expanded_url': 'https://blogs.elconfidencial.com/espana/caza-mayor/2020-05-03/coronavirus-segundo-mes-y-caceroladas-contra-sanchez_2577312/', 'display_url': 'blogs.elconfidencial.com/espana/caza-ma…', 'status': 200, 'unwound_url': 'https://blogs.elconfidencial.com/espana/caza-mayor/2020-05-03/coronavirus-segundo-mes-y-caceroladas-contra-sanchez_2577312/'}], 'annotations': [{'start': 57, 'end': 63, 'probability': 0.9368, 'type': 'Person', 'normalized_text': 'Sánchez'}]}"
2,"@IvanDuque @jrestrp 📺#EnVivo | ""Tenemos que hacer de la responsabilidad el mejor antídoto para el #COVID_19"": presidente @IvanDuque. 

#EnDirecto▶️https://t.co/mlA9KOJdYQ 

#ClaroQueMeQuedoEnCasa

https://t.co/ZTwS5YWuS7",1257097602937561088,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'IvanDuque'}, {'start': 11, 'end': 19, 'username': 'jrestrp'}, {'start': 121, 'end': 131, 'username': 'IvanDuque'}], 'urls': [{'start': 147, 'end': 170, 'url': 'https://t.co/mlA9KOJdYQ', 'expanded_url': 'http://bit.ly/2xvaaUd', 'display_url': 'bit.ly/2xvaaUd'}, {'start': 197, 'end': 220, 'url': 'https://t.co/ZTwS5YWuS7', 'expanded_url': 'http://bit.ly/3fgQRyY', 'display_url': 'bit.ly/3fgQRyY'}], 'hashtags': [{'start': 21, 'end': 28, 'tag': 'EnVivo'}, {'start': 98, 'end': 107, 'tag': 'COVID_19'}, {'start': 135, 'end': 145, 'tag': 'EnDirecto'}, {'start': 173, 'end': 195, 'tag': 'ClaroQueMeQuedoEnCasa'}]}"
3,RT @Conflits_FR: 🇫🇷 Insolite : Ce matin les gendarmes ont voulu verbaliser une femme se tenant sur la plage de #Carnon (#Hérault). Ils ont…,1257097602878836736,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Conflits_FR'}], 'hashtags': [{'start': 111, 'end': 118, 'tag': 'Carnon'}, {'start': 120, 'end': 128, 'tag': 'Hérault'}]}"
4,RT @MikeCarlton01: Just as there was “enormous evidence” that Saddam Hussein had weapons of mass destruction ready to go at 30 minutes noti…,1257097602866135040,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'MikeCarlton01'}], 'annotations': [{'start': 62, 'end': 75, 'probability': 0.9863, 'type': 'Person', 'normalized_text': 'Saddam Hussein'}]}"
5,"RT @MartinAinsley: @vstarwhiskey @bammba_m @gnicg @notcapnamerica @AlexBerenson 60,000 deaths is what you got *with lockdowns.* The point i…",1257097602799198208,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'MartinAinsley'}]}"
6,"@DonaldJTrumpJr Read thefine print,prez - ""It is important to note that it can take several weeks for death records to be submitted to (NCHS)"" - ""COVID-19 death counts shown here may differ from other published sources, as data currently are lagged by an average of 1–2 weeks."" Nice cherry pick.",1257097602757255169,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 15, 'username': 'DonaldJTrumpJr'}]}"
7,"RT @SallyQYates: In midst of a pandemic where thousands of Americans have died and millions are suffering, only our current president would…",1257097602627223555,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'SallyQYates'}], 'annotations': [{'start': 59, 'end': 67, 'probability': 0.8106, 'type': 'Person', 'normalized_text': 'Americans'}]}"
8,RT @EricHolder: Support the Postal Service.  It gets no money from taxpayers. It is as old as the nation and helps to bind us together as a…,1257097602597871616,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'EricHolder'}], 'annotations': [{'start': 28, 'end': 41, 'probability': 0.4414, 'type': 'Organization', 'normalized_text': 'Postal Service'}]}"
9,RT @jilevin: Coronavirus leaves Washington farmers with a big problem: What do you do with a billion pounds of potatoes? https://t.co/HmBVM…,1257097602589429760,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'jilevin'}], 'annotations': [{'start': 32, 'end': 41, 'probability': 0.9331, 'type': 'Place', 'normalized_text': 'Washington'}]}"
