,text,id,created_at,entities
0,"RT @NormOrnstein: Note to Schumer: here is what McConnell would do if situation reversed. 53 D’s, 5 or more quarantined. Keep Senate in ses…",1312542946605109249,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'NormOrnstein'}], 'annotations': [{'start': 26, 'end': 32, 'probability': 0.9831, 'type': 'Person', 'normalized_text': 'Schumer'}, {'start': 48, 'end': 56, 'probability': 0.9726, 'type': 'Person', 'normalized_text': 'McConnell'}]}"
1,I'm only going to respond to news articles of folks in government testing positive for #COVID19 with this GIF https://t.co/5aPYmyFZlU,1312542946533797888,2020-10-03T23:59:58.000Z,"{'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/5aPYmyFZlU', 'expanded_url': 'https://twitter.com/dobrock/status/1312542946533797888/photo/1', 'display_url': 'pic.twitter.com/5aPYmyFZlU'}], 'hashtags': [{'start': 87, 'end': 95, 'tag': 'COVID19'}]}"
2,"⁦@GovHerbert⁩ let’s get an app that works to track Covid-19!

States are finally starting to use the Covid-tracking tech Apple and Google built -- here's why https://t.co/EonE5t7NKJ",1312542946458136576,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 1, 'end': 12, 'username': 'GovHerbert'}], 'urls': [{'start': 158, 'end': 181, 'url': 'https://t.co/EonE5t7NKJ', 'expanded_url': 'https://www.cnbc.com/2020/10/03/covid-app-exposure-notification-apple-google.html', 'display_url': 'cnbc.com/2020/10/03/cov…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1353938090922971137/Pz2lDhwH?format=jpg&name=orig', 'width': 3000, 'height': 2000}, {'url': 'https://pbs.twimg.com/news_img/1353938090922971137/Pz2lDhwH?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': ""States are finally starting to use the Covid-tracking tech Apple and Google built — here's why"", 'description': 'The Apple-Google system for sending Covid-19 alerts is gaining momentum in the United States, six months after it was first announced.', 'unwound_url': 'https://www.cnbc.com/2020/10/03/covid-app-exposure-notification-apple-google.html'}], 'annotations': [{'start': 121, 'end': 125, 'probability': 0.6064, 'type': 'Organization', 'normalized_text': 'Apple'}, {'start': 131, 'end': 136, 'probability': 0.4939, 'type': 'Product', 'normalized_text': 'Google'}]}"
3,"RT @Newsweek: Mitch McConnell won't say If he's been tested recently for COVID, expects senators to return Monday https://t.co/V5yQf9TlVd",1312542946332479489,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Newsweek'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/V5yQf9TlVd', 'expanded_url': 'https://www.newsweek.com/mitch-mcconnell-wont-say-if-hes-been-tested-recently-covid-expects-senators-return-monday-1536188?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1601734572', 'display_url': 'newsweek.com/mitch-mcconnel…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1319855181740318721/fc6p5rTM?format=jpg&name=orig', 'width': 2500, 'height': 1667}, {'url': 'https://pbs.twimg.com/news_img/1319855181740318721/fc6p5rTM?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': ""Mitch McConnell won't say If he's been tested recently for COVID, expects senators to return Monday"", 'description': 'The Senate Majority Leader said five district court judges are set to be approved and he expects senators to return to Washington for work Monday.', 'unwound_url': 'https://www.newsweek.com/mitch-mcconnell-wont-say-if-hes-been-tested-recently-covid-expects-senators-return-monday-1536188?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1601734572'}], 'annotations': [{'start': 14, 'end': 28, 'probability': 0.9962, 'type': 'Person', 'normalized_text': 'Mitch McConnell'}]}"
4,"RT @CHIZMAGA: And just like that, the Democrats wish the Coronavirus was gone!

🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1312542946286137345,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'CHIZMAGA'}], 'annotations': [{'start': 38, 'end': 46, 'probability': 0.8747, 'type': 'Organization', 'normalized_text': 'Democrats'}]}"
5,RT @jaketapper: The president is in the hospital with COVID-19 and the White House is putting out zero guests for the Sunday shows to expla…,1312542946273632256,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'jaketapper'}], 'annotations': [{'start': 71, 'end': 81, 'probability': 0.8178, 'type': 'Place', 'normalized_text': 'White House'}]}"
6,"I understand this may be the case in NY, where at least one medical coder was reportedly told to code COVID cases as only ""exposed."" https://t.co/pnVzTh4gCN",1312542946269564930,2020-10-03T23:59:58.000Z,"{'urls': [{'start': 133, 'end': 156, 'url': 'https://t.co/pnVzTh4gCN', 'expanded_url': 'https://twitter.com/CongressKate/status/1312532514070646786', 'display_url': 'twitter.com/CongressKate/s…'}], 'annotations': [{'start': 37, 'end': 38, 'probability': 0.9817, 'type': 'Place', 'normalized_text': 'NY'}]}"
7,@Rich89564810 @RyanAFournier @realDonaldTrump From there underlining sickness hot covid. Read CDC death info..get report ore informers before you make a cnn msn comments,1312542946261192704,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'Rich89564810'}, {'start': 14, 'end': 28, 'username': 'RyanAFournier'}, {'start': 29, 'end': 45, 'username': 'realDonaldTrump'}], 'annotations': [{'start': 94, 'end': 96, 'probability': 0.5844, 'type': 'Organization', 'normalized_text': 'CDC'}, {'start': 153, 'end': 155, 'probability': 0.6945, 'type': 'Organization', 'normalized_text': 'cnn'}]}"
8,RT @ChrisDJackson: STATESMAN @JoeBiden said he told some governors not to publicly endorse him because he worried their states would not ge…,1312542946022035461,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'ChrisDJackson'}, {'start': 29, 'end': 38, 'username': 'JoeBiden'}]}"
9,RT @jonfavs: The phrase “Covid Comeback” will appear somewhere and cause me to spontaneously combust,1312542945581596673,2020-10-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'jonfavs'}], 'annotations': [{'start': 25, 'end': 38, 'probability': 0.6128, 'type': 'Other', 'normalized_text': 'Covid Comeback'}]}"
