,text,id,created_at,entities
0,"RT @unicefchief: Important reminder from @BTS_twt.

Learn more on why, how and when to wear a mask: https://t.co/5LY9o0FkwG

https://t.co/G…",1301671310641299456,2020-09-03T23:59:58.000Z,"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/5LY9o0FkwG', 'expanded_url': 'https://uni.cf/3lz6cOC', 'display_url': 'uni.cf/3lz6cOC', 'images': [{'url': 'https://pbs.twimg.com/news_img/1365942372954218496/qT_oV7h_?format=jpg&name=orig', 'width': 1440, 'height': 960}, {'url': 'https://pbs.twimg.com/news_img/1365942372954218496/qT_oV7h_?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'COVID-19 and masks: Tips for families', 'description': 'What to know about masks and how to introduce them to your family', 'unwound_url': 'https://www.unicef.org/coronavirus/covid-19-and-masks-tips-families'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'unicefchief'}, {'start': 41, 'end': 49, 'username': 'BTS_twt'}]}"
1,"Sigue #EnVivo la conferencia de prensa de @SSalud_mx sobre el avance del coronavirus en México 
https://t.co/ocT7KEjZIa",1301671310251167746,2020-09-03T23:59:58.000Z,"{'hashtags': [{'start': 6, 'end': 13, 'tag': 'EnVivo'}], 'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/ocT7KEjZIa', 'expanded_url': 'https://bit.ly/32UBua6', 'display_url': 'bit.ly/32UBua6'}], 'mentions': [{'start': 42, 'end': 52, 'username': 'SSalud_mx'}], 'annotations': [{'start': 88, 'end': 93, 'probability': 0.9883, 'type': 'Place', 'normalized_text': 'México'}]}"
2,RT @dennis0805a: @NYGovCuomo @rich19mkm #TrumpSupporters say it is OK if people with preexisting conditions die from COVID-19. They don't c…,1301671310234464259,2020-09-03T23:59:58.000Z,"{'hashtags': [{'start': 40, 'end': 56, 'tag': 'TrumpSupporters'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'dennis0805a'}, {'start': 17, 'end': 28, 'username': 'NYGovCuomo'}, {'start': 29, 'end': 39, 'username': 'rich19mkm'}]}"
3,RT @RJ_XXIV: Everyone’s waiting for 2021 as if COVID expires December 31st 💀,1301671310079045632,2020-09-03T23:59:58.000Z,None
4,Coronavírus se saia pq quero ter aula prática no IML,1301671309869486082,2020-09-03T23:59:58.000Z,None
5,"RT @DPI_Guyana: The results for the 500 COVID-19 test samples which were sent to the Caribbean Public Health Agency (CARPHA), Trinidad and…",1301671309768785925,2020-09-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DPI_Guyana'}], 'annotations': [{'start': 85, 'end': 114, 'probability': 0.766, 'type': 'Organization', 'normalized_text': 'Caribbean Public Health Agency'}, {'start': 126, 'end': 133, 'probability': 0.6671, 'type': 'Place', 'normalized_text': 'Trinidad'}]}"
6,RT @GEMI__NI: everyone’s waiting for 2021 as if COVID expires December 31st 🥴,1301671309697576968,2020-09-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'GEMI__NI'}]}"
7,RT @HLGatell: Conferencia de prensa de la  @SSalud_mx . Actualización del #COVID19 en México. Jueves 3 de septiembre de 2020. https://t.co/…,1301671309689192448,2020-09-03T23:59:58.000Z,"{'hashtags': [{'start': 74, 'end': 82, 'tag': 'COVID19'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'HLGatell'}, {'start': 43, 'end': 53, 'username': 'SSalud_mx'}], 'annotations': [{'start': 86, 'end': 91, 'probability': 0.994, 'type': 'Place', 'normalized_text': 'México'}]}"
8,I'm wondering how many have died from the lockdown in Victoria vs. from COVID-19 (with no contributing comorbidities). https://t.co/0wEZqzwQby,1301671309651226624,2020-09-03T23:59:58.000Z,"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/0wEZqzwQby', 'expanded_url': 'https://twitter.com/Thejimpenman/status/1301377391529345029', 'display_url': 'twitter.com/Thejimpenman/s…'}], 'annotations': [{'start': 54, 'end': 61, 'probability': 0.8302, 'type': 'Place', 'normalized_text': 'Victoria'}]}"
9,"RT @S1mplicissimus: Militares franceses afirman que el coronavirus es una guerra total contra la población mundial para esclavizarla, contr…",1301671309433282560,2020-09-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'S1mplicissimus'}]}"
