,text,id,created_at,entities
0,RT @chaselyons: just chilling in quarantine and there’s no hoes here smh https://t.co/zY97yC4lTX,1246225967066071040,2020-04-03T23:59:58.000Z,"{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/zY97yC4lTX', 'expanded_url': 'https://twitter.com/chaselyons/status/1246158461953544197/photo/1', 'display_url': 'pic.twitter.com/zY97yC4lTX'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'chaselyons'}]}"
1,RT @spectatorindex: UNITED STATES: Medical masks sold by American firm 3M to Germany were intercepted in Thailand and diverted back to the…,1246225967024087041,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 20, 'end': 32, 'probability': 0.7223, 'type': 'Place', 'normalized_text': 'UNITED STATES'}, {'start': 77, 'end': 83, 'probability': 0.9481, 'type': 'Place', 'normalized_text': 'Germany'}, {'start': 105, 'end': 112, 'probability': 0.9883, 'type': 'Place', 'normalized_text': 'Thailand'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'spectatorindex'}]}"
2,"RT @pikapikaph: Dingdong Dantes, Matteo Guidicelli, Coco Martin, Alden Richards, Gabby Concepcion, Willie Revillame and other celeb men def…",1246225966872977408,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 16, 'end': 30, 'probability': 0.9005, 'type': 'Person', 'normalized_text': 'Dingdong Dantes'}, {'start': 33, 'end': 49, 'probability': 0.9811, 'type': 'Person', 'normalized_text': 'Matteo Guidicelli'}, {'start': 52, 'end': 62, 'probability': 0.9975, 'type': 'Person', 'normalized_text': 'Coco Martin'}, {'start': 65, 'end': 78, 'probability': 0.9864, 'type': 'Person', 'normalized_text': 'Alden Richards'}, {'start': 81, 'end': 96, 'probability': 0.9948, 'type': 'Person', 'normalized_text': 'Gabby Concepcion'}, {'start': 99, 'end': 114, 'probability': 0.9938, 'type': 'Person', 'normalized_text': 'Willie Revillame'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'pikapikaph'}]}"
3,@Pridewest We're having an online 2nd birthday lockdown party on facebook tomorrow! https://t.co/mQykqehjLm,1246225966839578624,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 65, 'end': 72, 'probability': 0.4969, 'type': 'Product', 'normalized_text': 'facebook'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/mQykqehjLm', 'expanded_url': 'https://www.facebook.com/events/538960600376451/', 'display_url': 'facebook.com/events/5389606…'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'Pridewest'}]}"
4,"RT @WVFRM: New Episode! ""Quarantine Updates, 480p YouTube, &amp; Apple Purchases the Dark Sky App""

Listen anywhere: https://t.co/PEFpFuCRqE ht…",1246225966621433864,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 50, 'end': 56, 'probability': 0.5919, 'type': 'Product', 'normalized_text': 'YouTube'}, {'start': 61, 'end': 65, 'probability': 0.539, 'type': 'Product', 'normalized_text': 'Apple'}, {'start': 81, 'end': 92, 'probability': 0.4253, 'type': 'Product', 'normalized_text': 'Dark Sky App'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/PEFpFuCRqE', 'expanded_url': 'http://bit.ly/WaveformMKBHD', 'display_url': 'bit.ly/WaveformMKBHD'}], 'mentions': [{'start': 3, 'end': 9, 'username': 'WVFRM'}]}"
5,"RT @EnriqueSoto8: Más evidencia de que usar cubrebocas reduce la posibilidad de transmitir #coronavirus. Una intervención sencilla, barata…",1246225966566764544,2020-04-03T23:59:58.000Z,"{'hashtags': [{'start': 91, 'end': 103, 'tag': 'coronavirus'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'EnriqueSoto8'}]}"
6,So this is quarantine. https://t.co/NdgqoK7dLS,1246225966554374151,2020-04-03T23:59:58.000Z,"{'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/NdgqoK7dLS', 'expanded_url': 'https://twitter.com/titogabisu/status/1246225966554374151/photo/1', 'display_url': 'pic.twitter.com/NdgqoK7dLS'}]}"
7,RT @NewsweekPak: The Khyber-Pakhtunkhwa government has announced 'regulated' lockdown exemptions for outlets that provide food and medicine…,1246225966474702849,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 28, 'end': 49, 'probability': 0.2999, 'type': 'Organization', 'normalized_text': 'Pakhtunkhwa government'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'NewsweekPak'}]}"
8,"Me, during quarantine: I’m gonna watch a bunch of new shows and movies and read a bunch of books and try to be productive as possible as I can from home!

Me, actually during quarantine: This seems like a perfect time to rewatch Avatar: The Last Airbender for the 7th time",1246225966457851904,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 237, 'end': 254, 'probability': 0.5801, 'type': 'Other', 'normalized_text': 'The Last Airbender'}]}"
9,RT @guardianworld: Coronavirus US live: Trump undermines CDC masks guidance at combative briefing https://t.co/2wyqI9HUhN,1246225966151671812,2020-04-03T23:59:58.000Z,"{'annotations': [{'start': 40, 'end': 44, 'probability': 0.998, 'type': 'Person', 'normalized_text': 'Trump'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/2wyqI9HUhN', 'expanded_url': 'https://www.theguardian.com/us-news/live/2020/apr/03/coronavirus-live-news-us-donald-trump-latest?CMP=twt_a-world_b-gdnworld', 'display_url': 'theguardian.com/us-news/live/2…'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'guardianworld'}]}"
