,text,id,created_at,entities
0,"Kio Stark who wrote my foreword is going to be here too!

https://t.co/KolKx86p21",1290437286258245632,2020-08-03T23:59:58.000Z,"{'annotations': [{'start': 0, 'end': 8, 'probability': 0.7129, 'type': 'Person', 'normalized_text': 'Kio Stark'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/KolKx86p21', 'expanded_url': 'https://www.eventbrite.com/e/quarantine-book-club-with-erika-hall-tickets-115543853777', 'display_url': 'eventbrite.com/e/quarantine-b…'}]}"
1,RT @forensictoxguy: I just got kicked out of a flat earth Facebook group because I asked if the 6 foot social distancing guideline had push…,1290437285838753799,2020-08-03T23:59:58.000Z,"{'annotations': [{'start': 58, 'end': 65, 'probability': 0.6452, 'type': 'Organization', 'normalized_text': 'Facebook'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'forensictoxguy'}]}"
2,"Ye hi cheez honi baaki thi, aur agar aaj lockdown nahi hota toh chuti toh mil jati clg aur classes se.
#happyrainydays
#floods",1290437285587177480,2020-08-03T23:59:58.000Z,"{'hashtags': [{'start': 103, 'end': 118, 'tag': 'happyrainydays'}, {'start': 119, 'end': 126, 'tag': 'floods'}]}"
3,"RT @kirakosarin: I don’t know how else to say it. PLEASE wear masks and socially distance as much as possible

I’m seeing so many people ST…",1290437284840513542,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'kirakosarin'}]}"
4,RT @AK3YN: No media outlet would ever praise this strict level of social distancing ig it just doesn't fit their agenda,1290437284765093889,2020-08-03T23:59:58.000Z,None
5,RT @camgrilll: the government is making us quarantine so they can change the batteries in the pigeons,1290437283515162630,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'camgrilll'}]}"
6,RT @DrEricDing: Breaking—your nose is connected to your lungs. Masks OVER THE NOSE please. #Masks4All #MaskUp #COVID19,1290437283485814785,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'hashtags': [{'start': 91, 'end': 101, 'tag': 'Masks4All'}, {'start': 102, 'end': 109, 'tag': 'MaskUp'}, {'start': 110, 'end': 118, 'tag': 'COVID19'}]}"
7,RT @forensictoxguy: I just got kicked out of a flat earth Facebook group because I asked if the 6 foot social distancing guideline had push…,1290437283020181504,2020-08-03T23:59:58.000Z,"{'annotations': [{'start': 58, 'end': 65, 'probability': 0.6452, 'type': 'Organization', 'normalized_text': 'Facebook'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'forensictoxguy'}]}"
8,RT @AK3YN: No media outlet would ever praise this strict level of social distancing ig it just doesn't fit their agenda,1290437282722459648,2020-08-03T23:59:58.000Z,None
9,RT @rebeccasugar: Quarantine guitar practice https://t.co/DNzdhK3iaL,1290437282563010570,2020-08-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'rebeccasugar'}], 'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/DNzdhK3iaL', 'expanded_url': 'https://twitter.com/rebeccasugar/status/1290381175710654464/photo/1', 'display_url': 'pic.twitter.com/DNzdhK3iaL'}]}"
10,RT @DWUhlfelderLaw: Governor DeSantis' new communications director questioning effectiveness of masks by relying on data from Japan &amp; then…,1290437282252623875,2020-08-03T23:59:57.000Z,"{'annotations': [{'start': 20, 'end': 36, 'probability': 0.8848, 'type': 'Person', 'normalized_text': 'Governor DeSantis'}, {'start': 126, 'end': 130, 'probability': 0.8123, 'type': 'Place', 'normalized_text': 'Japan'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'DWUhlfelderLaw'}]}"
11,RT @RepAndyBiggsAZ: Do you support or oppose the government mandating masks in public in response to the COVID-19 outbreak?,1290437281359290372,2020-08-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'RepAndyBiggsAZ'}]}"
12,"RT @Acosta: “Patriots wear face masks,” Trump campaign says. https://t.co/XqyUNro7hc",1290437280436498432,2020-08-03T23:59:57.000Z,"{'annotations': [{'start': 13, 'end': 20, 'probability': 0.8053, 'type': 'Organization', 'normalized_text': 'Patriots'}, {'start': 40, 'end': 44, 'probability': 0.9973, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'Acosta'}], 'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/XqyUNro7hc', 'expanded_url': 'https://twitter.com/Acosta/status/1290427913431592960/photo/1', 'display_url': 'pic.twitter.com/XqyUNro7hc'}, {'start': 61, 'end': 84, 'url': 'https://t.co/XqyUNro7hc', 'expanded_url': 'https://twitter.com/Acosta/status/1290427913431592960/photo/1', 'display_url': 'pic.twitter.com/XqyUNro7hc'}]}"
13,RT @benshapiro: Endless lockdown is not an option. Endless unemployment payments are not an option. Leaving children school-less for a year…,1290437278918156289,2020-08-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'benshapiro'}]}"
14,RT @xmiabia: You can’t even tell we’re under an executive order to wear face masks in North Carolina,1290437278393929729,2020-08-03T23:59:56.000Z,"{'annotations': [{'start': 86, 'end': 99, 'probability': 0.986, 'type': 'Place', 'normalized_text': 'North Carolina'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'xmiabia'}]}"
15,"RT @TheMilesLuna: Quarantine has somehow gotten me backing into Minecraft of all things and it's honestly been lovely, but Is there no Real…",1290437278205173768,2020-08-03T23:59:56.000Z,"{'annotations': [{'start': 64, 'end': 72, 'probability': 0.6144, 'type': 'Product', 'normalized_text': 'Minecraft'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'TheMilesLuna'}]}"
16,"@RNBreakfast bah, why do so many of your separate stories podcasts not play properly? The first 10 secs plays then they go silent, eg today's 'what can Australian learn from the nz lockdown?' ☹️",1290437275558584320,2020-08-03T23:59:56.000Z,"{'mentions': [{'start': 0, 'end': 12, 'username': 'RNBreakfast'}]}"
17,"RT @BolsonaroSP: Quando começaram o confinamento (lockdown) te disseram que era para achatar a curva de contaminação, de modo a dar tempo a…",1290437274161811462,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'BolsonaroSP'}]}"
18,"RT @HighWireTalk: 'Face masks in public places are not necessary, based on all the current evidence,' said Coen Berends, spokesman for the…",1290437274073796609,2020-08-03T23:59:55.000Z,"{'annotations': [{'start': 107, 'end': 118, 'probability': 0.9564, 'type': 'Person', 'normalized_text': 'Coen Berends'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'HighWireTalk'}]}"
19,@BWGovernment Please give people permits to buy food. Lockdown was announced at short notice. We were not able to prepare. Not everyone can buy online. My family e.g. has food allergies and thus special needs.,1290437273696305155,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'BWGovernment'}]}"
20,RT @DanielCrute: This guy cleverly shows why masks are so damn important! https://t.co/MOUBCNvgmW,1290437273167822848,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'DanielCrute'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/MOUBCNvgmW', 'expanded_url': 'https://www.facebook.com/therealunclerob/videos/771971676906350', 'display_url': 'facebook.com/therealunclero…'}]}"
21,RT @AMErikaNGIRLLL: Holland's Top Scientists Say There's No Evidence Face Masks Work -- And May Actually Cause More Harm https://t.co/D6TRY…,1290437273067167744,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AMErikaNGIRLLL'}]}"
22,RT @ajc: The largest school district in the state reported Sunday that 260 employees have tested positive for the coronavirus or are in qua…,1290437272693813251,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 7, 'username': 'ajc'}]}"
23,RT @benshapiro: Endless lockdown is not an option. Endless unemployment payments are not an option. Leaving children school-less for a year…,1290437272651862016,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'benshapiro'}]}"
24,RT @SupermanHomepge: The CW Releases “Real Heroes Wear Masks” Posters https://t.co/Oe4q4pN0SZ https://t.co/AQrMOUr10J,1290437272110759937,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'SupermanHomepge'}], 'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/Oe4q4pN0SZ', 'expanded_url': 'https://ift.tt/39RL80c', 'display_url': 'ift.tt/39RL80c'}, {'start': 94, 'end': 117, 'url': 'https://t.co/AQrMOUr10J', 'expanded_url': 'https://twitter.com/SupermanHomepge/status/1290433339988545537/photo/1', 'display_url': 'pic.twitter.com/AQrMOUr10J'}]}"
25,RT @AK3YN: No media outlet would ever praise this strict level of social distancing ig it just doesn't fit their agenda https://t.co/NJaZ74…,1290437271171325961,2020-08-03T23:59:55.000Z,None
26,RT @tiffani: Now is the time to be okay with being shot dirty looks from family members when you issue not-so-subtle digs at their half-ass…,1290437271146106881,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'tiffani'}]}"
27,@NYGovCuomo He talks a lot of 💩 He allows offices to ignore HIS rules of no more than 50%capacity if there’s an ability to WFH He ignores the complaints Just attacks bars &amp; restaurants tho because they’re easier for the public to see @NYGovCuomo is worthless,1290437270886133761,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'NYGovCuomo'}, {'start': 238, 'end': 249, 'username': 'NYGovCuomo'}]}"
28,RT @SkumGang: @XavierWulf Quarantine got me in the crib like https://t.co/3jimPqK4tQ,1290437270122696712,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'SkumGang'}, {'start': 14, 'end': 25, 'username': 'XavierWulf'}], 'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/3jimPqK4tQ', 'expanded_url': 'https://twitter.com/SkumGang/status/1290426556075188224/video/1', 'display_url': 'pic.twitter.com/3jimPqK4tQ'}]}"
29,RT @ajc: The largest school district in the state reported Sunday that 260 employees have tested positive for the coronavirus or are in qua…,1290437269996941317,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 7, 'username': 'ajc'}]}"
30,RT @fillet0fishy: Negros Oriental is a killing field now. We have more than 20 extra judicial killings during this lockdown alone. Updating…,1290437269359337476,2020-08-03T23:59:54.000Z,"{'annotations': [{'start': 18, 'end': 32, 'probability': 0.5307, 'type': 'Organization', 'normalized_text': 'Negros Oriental'}]}"
31,RT @AK3YN: No media outlet would ever praise this strict level of social distancing ig it just doesn't fit their agenda,1290437268352704513,2020-08-03T23:59:54.000Z,None
32,"@suggsbusweII emma is literally the best advice giver ever, i’m so grateful,  she’s been there for me so much through lockdown and it means the world and more ! shes so talented + needs to have more confidence in herself she’s going to go so far !! i have so much love for her 💕",1290437268197593088,2020-08-03T23:59:54.000Z,"{'annotations': [{'start': 14, 'end': 17, 'probability': 0.9763, 'type': 'Person', 'normalized_text': 'emma'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'suggsbusweII'}]}"
33,RT @MehreenFaruqi: It beggars belief that greyhound and horse racing are continuing during Stage 4 lockdown in Victoria. This is totally ab…,1290437268042285056,2020-08-03T23:59:54.000Z,"{'annotations': [{'start': 111, 'end': 118, 'probability': 0.8596, 'type': 'Place', 'normalized_text': 'Victoria'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'MehreenFaruqi'}]}"
34,"RT @picsjungwoo: ©️ jungw_puppy

a reminder from jungwoo's cardboard cutout: wear your masks!

#NCT127 #JUNGWOO #정우 #ジョンウ https://t.co/wyai…",1290437267581030405,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'picsjungwoo'}], 'hashtags': [{'start': 95, 'end': 102, 'tag': 'NCT127'}, {'start': 103, 'end': 111, 'tag': 'JUNGWOO'}, {'start': 112, 'end': 115, 'tag': '정우'}, {'start': 116, 'end': 121, 'tag': 'ジョンウ'}]}"
35,RT @TVSupermanLois: Real heroes wear masks. #SupermanandLois https://t.co/0BXYRKvnKx,1290437266142310400,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'TVSupermanLois'}], 'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/0BXYRKvnKx', 'expanded_url': 'https://twitter.com/TVSupermanLois/status/1290432507553472512/photo/1', 'display_url': 'pic.twitter.com/0BXYRKvnKx'}], 'hashtags': [{'start': 44, 'end': 60, 'tag': 'SupermanandLois'}]}"
36,"RT @btsvotingorg: [ 🔔 #MTVHottest Update ]

Aug. 3 | Total Estimated Tweets + RT.

1. BTS – 23.828M
2.        – 2.932M

We called it social…",1290437266045796353,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'btsvotingorg'}], 'hashtags': [{'start': 22, 'end': 33, 'tag': 'MTVHottest'}]}"
37,"Thishow school is handling COVID-19
Let's say you're in high school.
You wear a proper mask, keep your distance, follow all guidelines, etc
Then an infected student bumps into you while going to class.
Now you're kicked out for mandatory 2 week quarantine",1290437266008137730,2020-08-03T23:59:54.000Z,None
38,RT @thisiswillem: the greater manc lockdown is fuelled by islamophobia and i won’t hear different,1290437265999659010,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'thisiswillem'}]}"
