,text,id,created_at,entities
0,"RT @FreshCoastTags: We’re all wearing masks now. They can cover many things. What does your mask cover? Join me and let’s play 

#MyMaskCov…",1334648605773340674,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'FreshCoastTags'}]}"
1,RT @AP: Joe Biden says he will ask Americans to commit to 100 days of wearing masks as one of his first acts as president. He stopped just…,1334648604070469635,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 8, 'end': 16, 'probability': 0.9979, 'type': 'Person', 'normalized_text': 'Joe Biden'}, {'start': 35, 'end': 43, 'probability': 0.953, 'type': 'Person', 'normalized_text': 'Americans'}], 'mentions': [{'start': 3, 'end': 6, 'username': 'AP'}]}"
2,RT @Nocturne20C: It’s my 44th birthday in 12 days and all I want is for Sweden to start wearing face masks 😷,1334648603428544512,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 72, 'end': 77, 'probability': 0.9801, 'type': 'Place', 'normalized_text': 'Sweden'}]}"
3,"@OregonGovBrown Here in Josephine county (where the inversion that occurs because this small valley can’t sustain this many energy users &amp; unregulated trash burners, &amp; a large % of pop. keep choosing Republican “lawmakers”) today hardly any masks are seen &amp; businesses are full. https://t.co/G2YcUtYXBc",1334648602929532928,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 24, 'end': 39, 'probability': 0.8546, 'type': 'Place', 'normalized_text': 'Josephine county'}, {'start': 200, 'end': 209, 'probability': 0.6748, 'type': 'Organization', 'normalized_text': 'Republican'}], 'urls': [{'start': 291, 'end': 314, 'url': 'https://t.co/G2YcUtYXBc', 'expanded_url': 'https://twitter.com/hughmanatee01/status/1334648602929532928/photo/1', 'display_url': 'pic.twitter.com/G2YcUtYXBc'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'OregonGovBrown'}]}"
4,"Today isn’t a good day. I’m so over 2020 and all this bullshit. LA is going back into lockdown. My salon is closing for the 3rd time, making it next to impossible to keep let alone get clients. I’m barely making enough to pay my rent each month, my parents have departed on the",1334648601113288704,2020-12-03T23:59:57.000Z,None
5,#kardashian #kanye #jayz #icetea #icecube #50cent #noahcyrus #beyonce #biden #harris #fraud #lockdown #losangeles #california #georgia #linwood #sidneypowell #florida #texas #europe #russia #africa #aoc #newsom  #climatechange #thegreatreset #cnn #cher  https://t.co/NcPgaUH6KG,1334648600287055873,2020-12-03T23:59:57.000Z,"{'hashtags': [{'start': 0, 'end': 11, 'tag': 'kardashian'}, {'start': 12, 'end': 18, 'tag': 'kanye'}, {'start': 19, 'end': 24, 'tag': 'jayz'}, {'start': 25, 'end': 32, 'tag': 'icetea'}, {'start': 33, 'end': 41, 'tag': 'icecube'}, {'start': 42, 'end': 49, 'tag': '50cent'}, {'start': 50, 'end': 60, 'tag': 'noahcyrus'}, {'start': 61, 'end': 69, 'tag': 'beyonce'}, {'start': 70, 'end': 76, 'tag': 'biden'}, {'start': 77, 'end': 84, 'tag': 'harris'}, {'start': 85, 'end': 91, 'tag': 'fraud'}, {'start': 92, 'end': 101, 'tag': 'lockdown'}, {'start': 102, 'end': 113, 'tag': 'losangeles'}, {'start': 114, 'end': 125, 'tag': 'california'}, {'start': 126, 'end': 134, 'tag': 'georgia'}, {'start': 135, 'end': 143, 'tag': 'linwood'}, {'start': 144, 'end': 157, 'tag': 'sidneypowell'}, {'start': 158, 'end': 166, 'tag': 'florida'}, {'start': 167, 'end': 173, 'tag': 'texas'}, {'start': 174, 'end': 181, 'tag': 'europe'}, {'start': 182, 'end': 189, 'tag': 'russia'}, {'start': 190, 'end': 197, 'tag': 'africa'}, {'start': 198, 'end': 202, 'tag': 'aoc'}, {'start': 203, 'end': 210, 'tag': 'newsom'}, {'start': 212, 'end': 226, 'tag': 'climatechange'}, {'start': 227, 'end': 241, 'tag': 'thegreatreset'}, {'start': 242, 'end': 246, 'tag': 'cnn'}, {'start': 247, 'end': 252, 'tag': 'cher'}], 'urls': [{'start': 254, 'end': 277, 'url': 'https://t.co/NcPgaUH6KG', 'expanded_url': 'https://twitter.com/DineshDSouza/status/1334568182154194949?s=09', 'display_url': 'twitter.com/DineshDSouza/s…'}]}"
6,"My current #lockdown body shape as mirrored in some sweet #streetart #graffiti 
as seen in #dublin
#sprayart #linedrawing #trafficisland #nightride #taillights #yellow &amp; #red #stayfree #yeah https://t.co/FSFCnIAlOW",1334648600018776065,2020-12-03T23:59:57.000Z,"{'hashtags': [{'start': 11, 'end': 20, 'tag': 'lockdown'}, {'start': 58, 'end': 68, 'tag': 'streetart'}, {'start': 69, 'end': 78, 'tag': 'graffiti'}, {'start': 91, 'end': 98, 'tag': 'dublin'}, {'start': 99, 'end': 108, 'tag': 'sprayart'}, {'start': 109, 'end': 121, 'tag': 'linedrawing'}, {'start': 122, 'end': 136, 'tag': 'trafficisland'}, {'start': 137, 'end': 147, 'tag': 'nightride'}, {'start': 148, 'end': 159, 'tag': 'taillights'}, {'start': 160, 'end': 167, 'tag': 'yellow'}, {'start': 174, 'end': 178, 'tag': 'red'}, {'start': 179, 'end': 188, 'tag': 'stayfree'}, {'start': 189, 'end': 194, 'tag': 'yeah'}], 'urls': [{'start': 195, 'end': 218, 'url': 'https://t.co/FSFCnIAlOW', 'expanded_url': 'https://www.instagram.com/p/CIWtxsFH_LU/?igshid=11h92rg685kmk', 'display_url': 'instagram.com/p/CIWtxsFH_LU/…'}]}"
7,"RT @BTS_jmluv1: 🏆The Lockdown Awards 

🌸하루에 계정당 20번
🌸투표 마감: 12.12일 10시 AM(KST) 

I’m voting for #QuaranteamBTS in #TheLockdownAwards on 
@L…",1334648599855001600,2020-12-03T23:59:57.000Z,"{'hashtags': [{'start': 96, 'end': 110, 'tag': 'QuaranteamBTS'}, {'start': 114, 'end': 132, 'tag': 'TheLockdownAwards'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'BTS_jmluv1'}]}"
8,"RT @drsimonegold: BREAKING: We are officially announcing a lockdown protest in Los Angeles.

When: Sunday 12/6/20
Time: 6pm

Go to https://…",1334648598672203776,2020-12-03T23:59:57.000Z,"{'annotations': [{'start': 79, 'end': 89, 'probability': 0.9875, 'type': 'Place', 'normalized_text': 'Los Angeles'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'drsimonegold'}]}"
9,"RT @LupodiBrughiera: @natolibero68 @valy_s @Luca_Mussati @cris_cersei Sì, concordo.
Come hanno votato la legge Lorenzin: se non ti vaccini…",1334648597762215937,2020-12-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'LupodiBrughiera'}, {'start': 21, 'end': 34, 'username': 'natolibero68'}, {'start': 35, 'end': 42, 'username': 'valy_s'}, {'start': 43, 'end': 56, 'username': 'Luca_Mussati'}, {'start': 57, 'end': 69, 'username': 'cris_cersei'}]}"
10,TheHill: Biden to urge wearing masks for first 100 days in office... #Coronavirus #Mask https://t.co/1P9YgbhQXl https://t.co/IUx5x2aIR6,1334648596185149441,2020-12-03T23:59:56.000Z,"{'hashtags': [{'start': 69, 'end': 81, 'tag': 'Coronavirus'}, {'start': 82, 'end': 87, 'tag': 'Mask'}], 'annotations': [{'start': 0, 'end': 6, 'probability': 0.7441, 'type': 'Organization', 'normalized_text': 'TheHill'}, {'start': 9, 'end': 13, 'probability': 0.9865, 'type': 'Person', 'normalized_text': 'Biden'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/1P9YgbhQXl', 'expanded_url': 'http://rankstr.com/item/22472393/tw', 'display_url': 'rankstr.com/item/22472393/…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1356361865425780740/9AA9JqIP?format=jpg&name=orig', 'width': 980, 'height': 551}, {'url': 'https://pbs.twimg.com/news_img/1356361865425780740/9AA9JqIP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Biden to urge wearing masks for first 100 days in office', 'description': 'President-elect Joe Biden plans to call on Americans to wear masks for his first 100 days in office, he announced Thursday.', 'unwound_url': 'https://thehill.com/policy/healthcare/528687-biden-will-call-for-people-to-wear-masks-for-100-days'}, {'start': 112, 'end': 135, 'url': 'https://t.co/IUx5x2aIR6', 'expanded_url': 'https://twitter.com/rankstr/status/1334648596185149441/photo/1', 'display_url': 'pic.twitter.com/IUx5x2aIR6'}]}"
11,"RT @daddyhope: This police-woman was slapping all school kids without masks at Kwekwe High.

These kids come from poor homes due economic d…",1334648595266539520,2020-12-03T23:59:56.000Z,"{'annotations': [{'start': 79, 'end': 89, 'probability': 0.4499, 'type': 'Place', 'normalized_text': 'Kwekwe High'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'daddyhope'}]}"
12,"RT @PatiKRoll11: Ran errands! Store 1, check out dude, no mask. Store 2, check out girl wore a baby bib tied across her face. Store 3: thre…",1334648594838773762,2020-12-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'PatiKRoll11'}]}"
13,"RT @SeanCollins66: They already have said that after this vaccine , they want to maintain restrictions and social distancing, so that will…",1334648594582949888,2020-12-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'SeanCollins66'}]}"
