,text,id,created_at,entities
0,"- Find a mask with a transparent window that allows them to read facial expressions
- Slow, gradual exposure to allow them to get used to the texture and sensation
- Personalised masks to increase ownership and fun
- Use games/rewards 
- Be a good example

#GetKind2020 2/2 -A",1345882629078323200,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 257, 'end': 269, 'tag': 'GetKind2020'}]}"
1,"RT @denisrancourt: MASKS HARM CHILDREN. 
A lot.
First scientific study of its kind.

LINK : https://t.co/T7EiCeKRbS https://t.co/5jQHZP3St1",1345882628885458945,2021-01-03T23:59:58.000Z,"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/T7EiCeKRbS', 'expanded_url': 'https://www.researchsquare.com/article/rs-124394/v1', 'display_url': 'researchsquare.com/article/rs-124…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1365385041682038784/3bqhz0U8?format=jpg&name=orig', 'width': 1200, 'height': 1200}, {'url': 'https://pbs.twimg.com/news_img/1365385041682038784/3bqhz0U8?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Corona children studies ""Co-Ki"": First results of a Germany-wide registry on mouth and nose covering (mask) in children', 'description': 'Background: Narratives about complaints in children and adolescents caused by wearing a mask are accumulating. There is, to date, no registry for side effects of masks.Methods: At the University of Witten/Herdecke an online registry has been set up wher...', 'unwound_url': 'https://www.researchsquare.com/article/rs-124394/v1'}, {'start': 116, 'end': 139, 'url': 'https://t.co/5jQHZP3St1', 'expanded_url': 'https://twitter.com/denisrancourt/status/1345847573253382144/photo/1', 'display_url': 'pic.twitter.com/5jQHZP3St1'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'denisrancourt'}]}"
2,"RT @readeandwrite: It's episode 28 of #BookEm! Join @VClinebarton as she talks about #holidays in #lockdown!

Debuts at 1:45 p.m. Eastern,…",1345882628449304576,2021-01-03T23:59:58.000Z,"{'hashtags': [{'start': 38, 'end': 45, 'tag': 'BookEm'}, {'start': 85, 'end': 94, 'tag': 'holidays'}, {'start': 98, 'end': 107, 'tag': 'lockdown'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'readeandwrite'}, {'start': 52, 'end': 65, 'username': 'VClinebarton'}]}"
3,@ashesorbones We are already doing that &amp; it is not working. California has been in lockdown for most of year &amp; in a hard lockdown for a couple of months &amp; Covid is worse than ever - by a lot. Tell me how restaurants at 50% capacity would make it worse.,1345882627253936130,2021-01-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'ashesorbones'}], 'annotations': [{'start': 61, 'end': 70, 'probability': 0.9788, 'type': 'Place', 'normalized_text': 'California'}]}"
4,"RT @TheEconomist: Early on in the pandemic, some claimed social distancing was pointless, since elderly victims would soon have died of oth…",1345882625823674369,2021-01-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'TheEconomist'}]}"
5,"RT @mags3bee: You have to be f*cking kidding me. Meanwhile, we still haven’t done sh*t for all of the actual humans that have been affected…",1345882625735602176,2021-01-03T23:59:57.000Z,None
6,RT @pay24dec: โคดเกลียดการ WFH อะ มันคือการนั่งทำงานไปเรื่อยๆแทบไม่รู้วันไม่รู้คืน ไม่มีเพื่อนชวนไปพักกลางวัน ไม่มีคนเดินมาตามงาน ไม่มีเสีย…,1345882625227907073,2021-01-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'pay24dec'}]}"
7,"RT @raphaeldogg: OFSTED saying some lockdown kids, denied schools, have forgotten how to use a knife and fork.

Personally, I do not believ…",1345882625148379137,2021-01-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'raphaeldogg'}], 'annotations': [{'start': 17, 'end': 22, 'probability': 0.4723, 'type': 'Organization', 'normalized_text': 'OFSTED'}]}"
8,Andy Reid may have as many masks as @KC_Sass.,1345882623864942595,2021-01-03T23:59:57.000Z,"{'mentions': [{'start': 36, 'end': 44, 'username': 'KC_Sass'}], 'annotations': [{'start': 0, 'end': 8, 'probability': 0.9975, 'type': 'Person', 'normalized_text': 'Andy Reid'}]}"
9,"RT @VirtualAstro: If we go into a #nationallockdown make sure you have warm clothes and a coat.

Why I hear you say....

Because I'm going…",1345882623630045188,2021-01-03T23:59:57.000Z,"{'hashtags': [{'start': 34, 'end': 51, 'tag': 'nationallockdown'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'VirtualAstro'}]}"
