,text,id,created_at,entities
0,RT @LOVlNGLEVI: kings of social distancing https://t.co/2BGWklM9PY,1257097603134550017,2020-05-03T23:59:58.000Z,"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/2BGWklM9PY', 'expanded_url': 'https://twitter.com/LOVlNGLEVI/status/1256998478980378625/photo/1', 'display_url': 'pic.twitter.com/2BGWklM9PY'}, {'start': 43, 'end': 66, 'url': 'https://t.co/2BGWklM9PY', 'expanded_url': 'https://twitter.com/LOVlNGLEVI/status/1256998478980378625/photo/1', 'display_url': 'pic.twitter.com/2BGWklM9PY'}, {'start': 43, 'end': 66, 'url': 'https://t.co/2BGWklM9PY', 'expanded_url': 'https://twitter.com/LOVlNGLEVI/status/1256998478980378625/photo/1', 'display_url': 'pic.twitter.com/2BGWklM9PY'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'LOVlNGLEVI'}]}"
1,"RT @AmyMcGrathKY: I’m social distancing for the same reasons I’m running for office. 

For the commonwealth. For the country. 
https://t.co…",1257097603126300672,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AmyMcGrathKY'}]}"
2,"@evoetr @NewshubFeatures @NewshubNZ @TheAMShowNZ It does help though, government knows that peoples interpretations will vary. It's still about flattening the curve, if 80% comply that will still help, its not always black and white. I can literally choose to look after myself by maintaining distance and hygiene.",1257097602882924544,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 7, 'username': 'evoetr'}, {'start': 8, 'end': 24, 'username': 'NewshubFeatures'}, {'start': 25, 'end': 35, 'username': 'NewshubNZ'}, {'start': 36, 'end': 48, 'username': 'TheAMShowNZ'}]}"
3,Before quarantine I ain’t seen nobody really this year,1257097602761404421,2020-05-03T23:59:58.000Z,None
4,"#StayAtHome Reading: Kem Kem 🦕

https://t.co/lba9Fg6OcX",1257097602715156480,2020-05-03T23:59:58.000Z,"{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/lba9Fg6OcX', 'expanded_url': 'https://www.cnn.com/2020/05/01/us/most-dangerous-place-earth-history-trnd-scn/index.html', 'display_url': 'cnn.com/2020/05/01/us/…'}], 'hashtags': [{'start': 0, 'end': 11, 'tag': 'StayAtHome'}]}"
5,"RT @HotlineJosh: My new column: Endangered Republicans starting to practice social distancing from Trump, as the president's poll numbers d…",1257097602639814656,2020-05-03T23:59:58.000Z,"{'annotations': [{'start': 99, 'end': 103, 'probability': 0.9984, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'HotlineJosh'}]}"
6,RT @RepAndyBiggsAZ: Dr Fauci and Dr Birx have basically said we would rather commit economic suicide than have freedom and let people gover…,1257097602501431297,2020-05-03T23:59:58.000Z,"{'annotations': [{'start': 20, 'end': 27, 'probability': 0.9458, 'type': 'Person', 'normalized_text': 'Dr Fauci'}, {'start': 33, 'end': 39, 'probability': 0.9816, 'type': 'Person', 'normalized_text': 'Dr Birx'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'RepAndyBiggsAZ'}]}"
7,RT @cocoxbee: Lockdown is making me heartless. Get me outside now before I block everyone LOOOOL,1257097602191032320,2020-05-03T23:59:58.000Z,None
8,"@msankey86 @achs_fred @PhillyRepub90 @TIME @GovernorTomWolf Log off and chill out. This isn’t a hoax or the flu or a conspiracy. 

This is about face masks and keeping the spread down and one another safe. This isn’t hard nor difficult. 🇺🇸🇺🇸",1257097602165866497,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'msankey86'}, {'start': 11, 'end': 21, 'username': 'achs_fred'}, {'start': 22, 'end': 36, 'username': 'PhillyRepub90'}, {'start': 37, 'end': 42, 'username': 'TIME'}, {'start': 43, 'end': 59, 'username': 'GovernorTomWolf'}]}"
9,RT @rohino: I would suggest Prime Minister to hold political rallies for incoming migrants in states with proper physical distancing in the…,1257097602048290816,2020-05-03T23:59:58.000Z,"{'annotations': [{'start': 28, 'end': 41, 'probability': 0.8735, 'type': 'Person', 'normalized_text': 'Prime Minister'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'rohino'}]}"
10,@TGayagas @Garrett_Archer @abc15 Get bent. The numbers are LOW because of the quarantine response. https://t.co/VA4bLbIOtK,1257097602018897921,2020-05-03T23:59:58.000Z,"{'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/VA4bLbIOtK', 'expanded_url': 'https://twitter.com/Sonikku_a2/status/1257097602018897921/photo/1', 'display_url': 'pic.twitter.com/VA4bLbIOtK'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'TGayagas'}, {'start': 10, 'end': 25, 'username': 'Garrett_Archer'}, {'start': 26, 'end': 32, 'username': 'abc15'}]}"
11,RT @brithume: Very smart piece on how 15 days of mitigation to “flatten the curve” morphed into a full lockdown to eliminate the disease.…,1257097601826029569,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'brithume'}]}"
12,RT @Hansboudib: Protecting d lives of #COVID-19 frontline workers is non-negotiable! Nig CAN NOT afford to lose HCWs either temporarily to…,1257097601779990532,2020-05-03T23:59:58.000Z,"{'hashtags': [{'start': 38, 'end': 44, 'tag': 'COVID'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Hansboudib'}]}"
13,RT @farbuffy: Get ready for this cluster. How to follow the SOP? How to practice social distancing. You’ve never been in this situation to…,1257097601704288256,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'farbuffy'}]}"
14,"RT @TheUSASingers: You guys want to hear new tunes?

Do you like folk music?

Anthemic songs of protest &amp; hope?

If yes, then you’re in luc…",1257097601607856130,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'TheUSASingers'}]}"
15,@SenJeffMerkley Stay safe. Wash your hands. Wear your mask. Stay away from @senatemajldr &amp; @POTUS &amp; many others corrupt senators. Thank you for all you do!,1257097601461125120,2020-05-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 15, 'username': 'SenJeffMerkley'}, {'start': 95, 'end': 101, 'username': 'POTUS'}]}"
16,"RT @J_kiran_: + SPM - When you have such people (Surbhi, Rohit) in your life, you will want to work with them again.
They were supposed to…",1257097600366514176,2020-05-03T23:59:58.000Z,"{'annotations': [{'start': 49, 'end': 54, 'probability': 0.6533, 'type': 'Person', 'normalized_text': 'Surbhi'}, {'start': 57, 'end': 61, 'probability': 0.8043, 'type': 'Person', 'normalized_text': 'Rohit'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'J_kiran_'}]}"
17,"Heartwarming tweets. Def needed that smile. #Animals #tweet
https://t.co/QW9sVxwfap",1257097600135761922,2020-05-03T23:59:58.000Z,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/QW9sVxwfap', 'expanded_url': 'https://www.buzzfeed.com/josieayre1/heartwarming-animal-tweets-in-lockdown', 'display_url': 'buzzfeed.com/josieayre1/hea…'}], 'hashtags': [{'start': 44, 'end': 52, 'tag': 'Animals'}, {'start': 53, 'end': 59, 'tag': 'tweet'}]}"
18,Efek lockdown 😭 https://t.co/xf7H80ID7C https://t.co/RgQsBPX7br,1257097599745576960,2020-05-03T23:59:58.000Z,"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/xf7H80ID7C', 'expanded_url': 'https://share.pubgameshowtime.com/showimage.php?cdn=2&gameid=1320&image=test&title=titlecontent&descript=descriptcontent', 'display_url': 'share.pubgameshowtime.com/showimage.php?…'}, {'start': 40, 'end': 63, 'url': 'https://t.co/RgQsBPX7br', 'expanded_url': 'https://twitter.com/uharespect/status/1257097599745576960/photo/1', 'display_url': 'pic.twitter.com/RgQsBPX7br'}]}"
