,text,id,created_at,entities
0,RT @pmarsupia: Un cargamento de máscaras destinadas a Alemania son requisadas en Tailandia y enviadas a EEUU. El Ministro del Interior de A…,1246225956454502401,2020-04-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'pmarsupia'}], 'annotations': [{'start': 54, 'end': 61, 'probability': 0.9485, 'type': 'Place', 'normalized_text': 'Alemania'}, {'start': 81, 'end': 89, 'probability': 0.9779, 'type': 'Place', 'normalized_text': 'Tailandia'}, {'start': 104, 'end': 107, 'probability': 0.9678, 'type': 'Place', 'normalized_text': 'EEUU'}]}"
1,https://t.co/oOe6uGvQ1H,1246225956139872257,2020-04-03T23:59:56.000Z,"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oOe6uGvQ1H', 'expanded_url': 'https://s.hbr.org/2wMHeqv', 'display_url': 's.hbr.org/2wMHeqv'}]}"
2,"A microbiologist in Germany believes that the use of an updated version of a 100-year-old Tuberculosis vaccine may work as an intermediate treatment for Covid-19.
https://t.co/ISHiyBezl7",1246225954499936256,2020-04-03T23:59:55.000Z,"{'urls': [{'start': 163, 'end': 186, 'url': 'https://t.co/ISHiyBezl7', 'expanded_url': 'https://www.cnn.com/videos/health/2020/04/03/germany-coronavirus-tuberculosis-vaccine-treatment-pleitgen-dnt-lead-vpx.cnn', 'display_url': 'cnn.com/videos/health/…'}], 'annotations': [{'start': 20, 'end': 26, 'probability': 0.9987, 'type': 'Place', 'normalized_text': 'Germany'}]}"
3,RT @DerekRobinson2: We don’t want a new Thalidomide: Why a COVID-19 vaccine is so long coming | The New Daily https://t.co/XV2FtUwdUW,1246225954336198656,2020-04-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'DerekRobinson2'}], 'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/XV2FtUwdUW', 'expanded_url': 'https://thenewdaily.com.au/life/wellbeing/2020/04/03/vaccine-developnent-why-so-long/', 'display_url': 'thenewdaily.com.au/life/wellbeing…'}], 'annotations': [{'start': 96, 'end': 108, 'probability': 0.3498, 'type': 'Other', 'normalized_text': 'The New Daily'}]}"
4,RT @ChinaScience: A group of 108 volunteers has been vaccinated in a clinical trial for a #COVID19 vaccine in #Wuhan and 18 of them have en…,1246225954218835974,2020-04-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'ChinaScience'}], 'hashtags': [{'start': 90, 'end': 98, 'tag': 'COVID19'}, {'start': 110, 'end': 116, 'tag': 'Wuhan'}]}"
5,"RT @LandNoli: 'Africa is not a laboratory' - Drogba joins Eto'o in denouncing 'racist' remarks by French doctors

Professors Jean-Paul Mira…",1246225950385283080,2020-04-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'LandNoli'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.8106, 'type': 'Place', 'normalized_text': 'Africa'}, {'start': 45, 'end': 50, 'probability': 0.9805, 'type': 'Person', 'normalized_text': 'Drogba'}, {'start': 58, 'end': 60, 'probability': 0.7647, 'type': 'Person', 'normalized_text': 'Eto'}, {'start': 130, 'end': 138, 'probability': 0.6406, 'type': 'Person', 'normalized_text': 'Paul Mira'}]}"
6,"RT @dw_brasil: Berlim diz que EUA interceptaram remessa de 200 mil máscaras encomendadas e pagas pela capital alemã. ""Ato de pirataria mode…",1246225947998781442,2020-04-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'dw_brasil'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.9107, 'type': 'Place', 'normalized_text': 'Berlim'}, {'start': 30, 'end': 32, 'probability': 0.9912, 'type': 'Place', 'normalized_text': 'EUA'}]}"
7,@KySportsRadio A vaccine by July is laughable 😆,1246225941518483456,2020-04-03T23:59:52.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'KySportsRadio'}]}"
8,"RT @dw_brasil: Berlim diz que EUA interceptaram remessa de 200 mil máscaras encomendadas e pagas pela capital alemã. ""Ato de pirataria mode…",1246225940327411712,2020-04-03T23:59:52.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'dw_brasil'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.9107, 'type': 'Place', 'normalized_text': 'Berlim'}, {'start': 30, 'end': 32, 'probability': 0.9912, 'type': 'Place', 'normalized_text': 'EUA'}]}"
9,RT @MarkYoungTruth: Why are the so called experts dismissing Hydroxychlorquine while focusing all the attention on a vaccine that is 18 mon…,1246225933968777223,2020-04-03T23:59:51.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'MarkYoungTruth'}], 'annotations': [{'start': 61, 'end': 77, 'probability': 0.4197, 'type': 'Person', 'normalized_text': 'Hydroxychlorquine'}]}"
