,text,id,created_at,entities
0,"RT @AndyBiotech: #COVID19 REGN-COV2 shows efficacy as measured by reduced viral load in both upper and lower airways, reduced virus induced…",1290437286585421826,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'AndyBiotech'}], 'hashtags': [{'start': 17, 'end': 25, 'tag': 'COVID19'}]}"
1,"RT @MattWalshBlog: ""15 days to slow the spread!""

""Sorry, 30 days.""

""Never mind, two months.""

""Okay three months""

""Alright just shut it…",1290437282831507457,2020-08-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'MattWalshBlog'}]}"
2,Rachel Roubein and Sarah Owermohle: U.S. lacks plan for getting vaccine to communities of color devastated by coronavirus  https://t.co/LNw7qtssQs,1290437277458587649,2020-08-03T23:59:56.000Z,"{'urls': [{'start': 123, 'end': 146, 'url': 'https://t.co/LNw7qtssQs', 'expanded_url': 'https://www.politico.com/news/2020/08/03/vaccine-minority-communities-389878', 'display_url': 'politico.com/news/2020/08/0…'}], 'annotations': [{'start': 0, 'end': 13, 'probability': 0.9978, 'type': 'Person', 'normalized_text': 'Rachel Roubein'}, {'start': 19, 'end': 33, 'probability': 0.9924, 'type': 'Person', 'normalized_text': 'Sarah Owermohle'}, {'start': 36, 'end': 39, 'probability': 0.928, 'type': 'Place', 'normalized_text': 'U.S.'}]}"
3,"@o_rips I don't know what you think Spiro, but I hope he is only saying it for the election, he never said what will be in the vaccine, it could be vitamins for all we know 🙏 🙏🙏",1290437275642363905,2020-08-03T23:59:56.000Z,"{'mentions': [{'start': 0, 'end': 7, 'username': 'o_rips'}], 'annotations': [{'start': 36, 'end': 40, 'probability': 0.6945, 'type': 'Person', 'normalized_text': 'Spiro'}]}"
4,@joshscampbell Hope for a miracle vaccine,1290437274279333889,2020-08-03T23:59:56.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'joshscampbell'}]}"
5,"RT @joelpollak: This would, if successful, be a major government success. You'd think Democrats would also like to see an example of the fe…",1290437270202458112,2020-08-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'joelpollak'}], 'annotations': [{'start': 86, 'end': 94, 'probability': 0.8808, 'type': 'Organization', 'normalized_text': 'Democrats'}]}"
6,"RT @HelenBranswell: ""We must resist the desire to rush out a product. Creating vaccines is hard, and we should be prepared for the reality…",1290437269548081159,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'HelenBranswell'}]}"
7,"@osvaldo_quiroga ""Son la versión moderna de Nerón"". Sos un capo Osvaldo!",1290437267702665219,2020-08-03T23:59:54.000Z,"{'mentions': [{'start': 0, 'end': 16, 'username': 'osvaldo_quiroga'}], 'annotations': [{'start': 44, 'end': 48, 'probability': 0.8269, 'type': 'Person', 'normalized_text': 'Nerón'}, {'start': 64, 'end': 70, 'probability': 0.9224, 'type': 'Person', 'normalized_text': 'Osvaldo'}]}"
8,RT @ZacharyBrennan: Big if true: Offit says an FDA vaccine ad com is scheduled for late October https://t.co/KNc0U3YyMh,1290437267090284545,2020-08-03T23:59:54.000Z,"{'urls': [{'start': 96, 'end': 119, 'url': 'https://t.co/KNc0U3YyMh', 'expanded_url': 'https://www.buzzfeednews.com/article/danvergano/trump-vaccine-election-november', 'display_url': 'buzzfeednews.com/article/danver…'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'ZacharyBrennan'}], 'annotations': [{'start': 47, 'end': 49, 'probability': 0.5816, 'type': 'Organization', 'normalized_text': 'FDA'}]}"
9,"As the world awaits a coronavirus vaccine in anticipation of returning to a ""normal life,"" scientists are still seeking funding to find the most effective ways to treat the virus with existing drugs.
@KCBSRadio #KCBSRadio 
https://t.co/QPZUMvSV0J",1290437263206363138,2020-08-03T23:59:53.000Z,"{'urls': [{'start': 223, 'end': 246, 'url': 'https://t.co/QPZUMvSV0J', 'expanded_url': 'https://kcbsradio.radio.com/articles/millions-still-needed-in-covid-19-treatment-research', 'display_url': 'kcbsradio.radio.com/articles/milli…'}], 'mentions': [{'start': 200, 'end': 210, 'username': 'KCBSRadio'}], 'hashtags': [{'start': 211, 'end': 221, 'tag': 'KCBSRadio'}]}"
