,text,id,created_at,entities
0,"RT @eugenegu: Some people literally use their phone, containing many microchips tracking their every move with a whole GPS satellite networ…",1334648605408456706,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'eugenegu'}]}"
1,"RT @Mandoline_Blue: Breaking: Pfizer shipping 50% less vaccine than expected this year due to supply chain problems. 

The UK had planned t…",1334648604150165508,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 30, 'end': 35, 'probability': 0.5153, 'type': 'Organization', 'normalized_text': 'Pfizer'}, {'start': 123, 'end': 124, 'probability': 0.8993, 'type': 'Place', 'normalized_text': 'UK'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'Mandoline_Blue'}]}"
2,The Moderna COVID-19 vaccine is $35 a dose. This lab in Texas is developing a $1 alternative. https://t.co/TnBZNKBnrw,1334648604028493824,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 56, 'end': 60, 'probability': 0.9846, 'type': 'Place', 'normalized_text': 'Texas'}], 'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/TnBZNKBnrw', 'expanded_url': 'https://bit.ly/3lFuVj5', 'display_url': 'bit.ly/3lFuVj5'}]}"
3,RT @TimRunsHisMouth: @JoeBiden @KamalaHarris Oh that's adorable!  You're pretending you had something to do with the vaccine and that it wa…,1334648603835396097,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'TimRunsHisMouth'}, {'start': 21, 'end': 30, 'username': 'JoeBiden'}, {'start': 31, 'end': 44, 'username': 'KamalaHarris'}]}"
4,DUTERTE: No poor country should be denied the Covid-19 vaccine https://t.co/8BFZgcMzef,1334648603449716737,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 0, 'end': 6, 'probability': 0.5744, 'type': 'Person', 'normalized_text': 'DUTERTE'}], 'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/8BFZgcMzef', 'expanded_url': 'http://durianburgdavao.com/2020/12/04/duterte-no-poor-country-should-be-denied-the-covid-19-vaccine/', 'display_url': 'durianburgdavao.com/2020/12/04/dut…'}]}"
5,"RT @michael_deforge: already dreading being fed a post-vaccine narrative of like ""boy, that was a really rough time, but we all barrelled d…",1334648603302907904,2020-12-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'michael_deforge'}]}"
6,"@fordnation Doug, take your vaccine and shove it.",1334648602552045575,2020-12-03T23:59:58.000Z,"{'annotations': [{'start': 12, 'end': 15, 'probability': 0.9269, 'type': 'Person', 'normalized_text': 'Doug'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'fordnation'}]}"
7,#IBM analysts warn of phishing attack on overseas COVID-19 vaccine supply chain https://t.co/l5cIl2mCCi,1334648601985867777,2020-12-03T23:59:57.000Z,"{'hashtags': [{'start': 0, 'end': 4, 'tag': 'IBM'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/l5cIl2mCCi', 'expanded_url': 'https://www.usatoday.com/story/news/nation/2020/12/03/covid-19-vaccine-overseas-supply-chain-targeted-cyber-analysts-warn/3801198001/', 'display_url': 'usatoday.com/story/news/nat…'}]}"
8,RT @gina_serrano: https://t.co/QoDGgwURBy,1334648601574662145,2020-12-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'gina_serrano'}], 'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/QoDGgwURBy', 'expanded_url': 'https://www.ginaserranotv.mx/post/pfizer-recorta-producci%C3%B3n-de-vacunas-contra-covid-para-este-a%C3%B1o', 'display_url': 'ginaserranotv.mx/post/pfizer-re…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1334645792670318592/B_tSvUEi?format=png&name=orig', 'width': 664, 'height': 498}, {'url': 'https://pbs.twimg.com/news_img/1334645792670318592/B_tSvUEi?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'PFIZER RECORTA PRODUCCIÓN DE VACUNAS CONTRA COVID PARA ESTE AÑO', 'description': 'Pfizer informó que espera producir solo 50 millones de dosis de su vacuna contra el coronavirus, originalmente planeaba producir 100 millones de dosis antes de terminar este 2020. #VacunaPfizer ESTADOS UNIDOS. Los desafíos en la cadena de suministro que enfrenta Pfizer Inc en su vacuna para el COVID-19 jugaron un pape', 'unwound_url': 'https://www.ginaserranotv.mx/post/pfizer-recorta-producci%C3%B3n-de-vacunas-contra-covid-para-este-a%C3%B1o'}]}"
9,"RT @ABC: On @ABCNewsLive, we speak with Dr. Joseph Varon, who took time to comfort a patient on Thanksgiving Day. Plus, we have more on mis…",1334648601478393857,2020-12-03T23:59:57.000Z,"{'annotations': [{'start': 40, 'end': 55, 'probability': 0.8796, 'type': 'Person', 'normalized_text': 'Dr. Joseph Varon'}, {'start': 96, 'end': 107, 'probability': 0.9935, 'type': 'Other', 'normalized_text': 'Thanksgiving'}], 'mentions': [{'start': 3, 'end': 7, 'username': 'ABC'}, {'start': 12, 'end': 24, 'username': 'ABCNewsLive'}]}"
10,"RT @Femi_Sorry: Why did #BBCqt let @michelledonelan and @LiamHalligan repeat the lie that Brexit sped up the vaccine approval, even though…",1334648601256005632,2020-12-03T23:59:57.000Z,"{'hashtags': [{'start': 24, 'end': 30, 'tag': 'BBCqt'}], 'annotations': [{'start': 90, 'end': 95, 'probability': 0.465, 'type': 'Other', 'normalized_text': 'Brexit'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Femi_Sorry'}, {'start': 35, 'end': 51, 'username': 'michelledonelan'}, {'start': 56, 'end': 69, 'username': 'LiamHalligan'}]}"
11,RT @mxwxzz: Phineas and Ferb would have made the vaccine by now,1334648600618471424,2020-12-03T23:59:57.000Z,"{'annotations': [{'start': 12, 'end': 18, 'probability': 0.9189, 'type': 'Person', 'normalized_text': 'Phineas'}, {'start': 24, 'end': 27, 'probability': 0.9353, 'type': 'Person', 'normalized_text': 'Ferb'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'mxwxzz'}]}"
12,@JoeBiden @KamalaHarris The vaccine is ready because of operation warp speed- Trump!! How low are you going to go? Wow,1334648600543055876,2020-12-03T23:59:57.000Z,"{'annotations': [{'start': 78, 'end': 82, 'probability': 0.9953, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'JoeBiden'}, {'start': 10, 'end': 23, 'username': 'KamalaHarris'}]}"
13,RT @workingdog_: Please report this tweet. This is a fake screenshot containing false information. This is NOT how mRNA vaccines work. If y…,1334648598961774593,2020-12-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'workingdog_'}]}"
14,"RT @jjamz_: “The vaccine is completely safe”

*6 months later*",1334648598328451084,2020-12-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'jjamz_'}]}"
