,text,id,created_at,entities
0,#Coronavirus Vaccine #India : 15 [ ] 15 #Covid19 . #Biotech) . https://t.co/rNwIzS6yX2,1279203251599167493,2020-07-03T23:59:56.000Z,"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/rNwIzS6yX2', 'expanded_url': 'https://www.jagran.com/news/national-icmr-writes-a-letter-to-bharat-biotech-to-complete-the-human-trial-of-indigenous-covid19-vaccine-in-a-fast-track-method-before-15th-august-20468644.html', 'display_url': 'jagran.com/news/national-…'}], 'hashtags': [{'start': 0, 'end': 12, 'tag': 'Coronavirus'}, {'start': 21, 'end': 27, 'tag': 'India'}, {'start': 40, 'end': 48, 'tag': 'Covid19'}, {'start': 51, 'end': 59, 'tag': 'Biotech'}]}"
1,The #covid19 vaccine trials https://t.co/UmWu4OSirW,1279203249686319104,2020-07-03T23:59:55.000Z,"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/UmWu4OSirW', 'expanded_url': 'https://twitter.com/robin_shattock/status/1278411650018795520', 'display_url': 'twitter.com/robin_shattock…'}], 'hashtags': [{'start': 4, 'end': 12, 'tag': 'covid19'}]}"
2,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203247677464579,2020-07-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
3,"@wkyc It’s just a mask 
It’s just a chip
It’s just a vaccine 
Can you see where this is headed?!",1279203230229180416,2020-07-03T23:59:51.000Z,"{'mentions': [{'start': 0, 'end': 5, 'username': 'wkyc'}]}"
4,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203222465449986,2020-07-03T23:59:49.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
5,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203220544540672,2020-07-03T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
6,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203216455020545,2020-07-03T23:59:47.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
7,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203214185897984,2020-07-03T23:59:47.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
8,"RT @DrDenaGrayson: Bottom line: this new G614 mutant #coronavirus appears to spread more easily (bad news), but 
NOT cause more severe illn…",1279203213510615040,2020-07-03T23:59:47.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'DrDenaGrayson'}], 'hashtags': [{'start': 53, 'end': 65, 'tag': 'coronavirus'}]}"
9,RT @NightShiftMD: Strong words. No one wants to take away hope. The potential spread of #COVID19 in the absence of a vaccine is serious. No…,1279203212466085888,2020-07-03T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'NightShiftMD'}], 'hashtags': [{'start': 88, 'end': 96, 'tag': 'COVID19'}]}"
10,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203210851385344,2020-07-03T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
11,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203210725597186,2020-07-03T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
12,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203210410917888,2020-07-03T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
13,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203208976449536,2020-07-03T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
14,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203205080113152,2020-07-03T23:59:45.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
15,RT @DrEricDing: How the 1918 pandemic was conquered without a vaccine. https://t.co/Er7Zfh9p5X,1279203203360468992,2020-07-03T23:59:44.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DrEricDing'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/Er7Zfh9p5X', 'expanded_url': 'https://twitter.com/DrEricDing/status/1279199071534792706/photo/1', 'display_url': 'pic.twitter.com/Er7Zfh9p5X'}]}"
16,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203182443298816,2020-07-03T23:59:39.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
17,"RT @EricIdle: Do not listen.  This is shit advice.  
I have nothing to do with this.
In the wise words of my wife. “What has changed?”  
No…",1279203179603714048,2020-07-03T23:59:39.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'EricIdle'}]}"
