,text,id,created_at,entities
0,"Unlike the time I had to take off my whole dress in a meeting room at work, I can confirm KRIS dress sleeves are very easy to pull up for your flu vaccine plus you can colour-coordinate them with your lollipop 🍭 💉 https://t.co/FUks4yQmzj",1268331616209760257,2020-06-03T23:59:56.000Z,"{'urls': [{'start': 214, 'end': 237, 'url': 'https://t.co/FUks4yQmzj', 'expanded_url': 'https://twitter.com/HouseOfBoomNZ/status/1268331616209760257/photo/1', 'display_url': 'pic.twitter.com/FUks4yQmzj'}, {'start': 214, 'end': 237, 'url': 'https://t.co/FUks4yQmzj', 'expanded_url': 'https://twitter.com/HouseOfBoomNZ/status/1268331616209760257/photo/1', 'display_url': 'pic.twitter.com/FUks4yQmzj'}]}"
1,"RT @SpencerFernando: As Liberal Government Orders 37 Million Syringes, Will They Force Canadians To Take A Chinese Military-Made Vaccine? h…",1268331601093488640,2020-06-03T23:59:52.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'SpencerFernando'}]}"
2,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331597570465793,2020-06-03T23:59:51.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
3,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331596911767552,2020-06-03T23:59:51.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
4,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331595640889346,2020-06-03T23:59:51.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
5,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331593887879169,2020-06-03T23:59:51.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
6,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331585796837376,2020-06-03T23:59:49.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
7,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331582877827073,2020-06-03T23:59:48.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
8,RT @jakeshieldsajj: I’m old enough to remember politicians telling us we wouldn’t have mass gathering until we have a vaccine,1268331579014893570,2020-06-03T23:59:47.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'jakeshieldsajj'}]}"
9,"RT @SenSanders: I simply cannot believe—after 100,000 Americans have lost their lives—that this Trump official refuses to commit to making…",1268331567757381640,2020-06-03T23:59:44.000Z,"{'annotations': [{'start': 54, 'end': 62, 'probability': 0.6401, 'type': 'Person', 'normalized_text': 'Americans'}, {'start': 96, 'end': 100, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'SenSanders'}]}"
