,text,id,created_at,entities
0,RT @Acosta: Source familiar with admin Coronavirus response said scientists and experts at Trump's meeting with pharmaceutical industry lea…,1234991943324581889,2020-03-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Acosta'}], 'annotations': [{'start': 39, 'end': 49, 'probability': 0.302, 'type': 'Person', 'normalized_text': 'Coronavirus'}, {'start': 91, 'end': 95, 'probability': 0.9934, 'type': 'Person', 'normalized_text': 'Trump'}]}"
1,"@Acyn Complete and utter bullshit. Straight from our government. This is the closer vaccine, because of luck.

https://t.co/EpOdj8NimT",1234991940610879490,2020-03-03T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 5, 'username': 'Acyn'}], 'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/EpOdj8NimT', 'expanded_url': 'https://www.jpost.com/HEALTH-SCIENCE/Israeli-scientists-In-three-weeks-we-will-have-coronavirus-vaccine-619101', 'display_url': 'jpost.com/HEALTH-SCIENCE…'}]}"
2,"RT @soledadobrien: Dr. Fauci out here doing the Lord’s work. Calling bullshit on what Azar said about a three day vaccine, while not callin…",1234991939780411392,2020-03-03T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'soledadobrien'}], 'annotations': [{'start': 19, 'end': 27, 'probability': 0.9832, 'type': 'Person', 'normalized_text': 'Dr. Fauci'}, {'start': 48, 'end': 51, 'probability': 0.8924, 'type': 'Other', 'normalized_text': 'Lord'}, {'start': 86, 'end': 89, 'probability': 0.7837, 'type': 'Person', 'normalized_text': 'Azar'}]}"
3,RT @Acosta: Source familiar with admin Coronavirus response said scientists and experts at Trump's meeting with pharmaceutical industry lea…,1234991936420765697,2020-03-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Acosta'}], 'annotations': [{'start': 39, 'end': 49, 'probability': 0.302, 'type': 'Person', 'normalized_text': 'Coronavirus'}, {'start': 91, 'end': 95, 'probability': 0.9934, 'type': 'Person', 'normalized_text': 'Trump'}]}"
4,"RT @Acosta: Since Monday, Dr. Fauci has publicly explained in front of Trump three times now that it will take a year or more to develop a…",1234991935972003840,2020-03-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Acosta'}], 'annotations': [{'start': 26, 'end': 34, 'probability': 0.9869, 'type': 'Person', 'normalized_text': 'Dr. Fauci'}, {'start': 71, 'end': 75, 'probability': 0.9958, 'type': 'Person', 'normalized_text': 'Trump'}]}"
5,RT @mopeng: A team of University of Queensland researchers have met a proof of concept milestone in fast-tracked research to develop a vacc…,1234991931597316096,2020-03-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'mopeng'}], 'annotations': [{'start': 22, 'end': 45, 'probability': 0.9066, 'type': 'Organization', 'normalized_text': 'University of Queensland'}]}"
6,@realDonaldTrump @NIH Scary you can’t understand how a vaccine works.,1234991930343215104,2020-03-03T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 16, 'username': 'realDonaldTrump'}, {'start': 17, 'end': 21, 'username': 'NIH'}]}"
7,RT @Acyn: Alex Azar says that scientists have developed a potential vaccine after three days https://t.co/w1xw07ZWSb,1234991929290457088,2020-03-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 8, 'username': 'Acyn'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/w1xw07ZWSb', 'expanded_url': 'https://twitter.com/Acyn/status/1234950243512242176/video/1', 'display_url': 'pic.twitter.com/w1xw07ZWSb'}], 'annotations': [{'start': 10, 'end': 18, 'probability': 0.9987, 'type': 'Person', 'normalized_text': 'Alex Azar'}]}"
8,RT @gtconway3d: I wish there were a vaccine against abject stupidity https://t.co/LjPS1AdDDx,1234991929101713408,2020-03-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'gtconway3d'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/LjPS1AdDDx', 'expanded_url': 'https://twitter.com/JoshuaPotash/status/1234661401488052226', 'display_url': 'twitter.com/JoshuaPotash/s…'}]}"
9,"RT @Acosta: At WH Coronavirus briefing with Pence, Fauci now reiterating that it will take more than a year to develop a Coronavirus vaccin…",1234991928942313472,2020-03-03T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Acosta'}], 'annotations': [{'start': 15, 'end': 28, 'probability': 0.4843, 'type': 'Organization', 'normalized_text': 'WH Coronavirus'}, {'start': 44, 'end': 48, 'probability': 0.975, 'type': 'Person', 'normalized_text': 'Pence'}]}"
10,"RT @ThanyaVaZ: No sé qué me duele más:
1.- Que Érika Buenfil escuche más música moderna que yo.
2.- Que sabe usar TikTok y yo no.
3.- Todas…",1234991925674921984,2020-03-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'ThanyaVaZ'}], 'annotations': [{'start': 47, 'end': 59, 'probability': 0.9531, 'type': 'Person', 'normalized_text': 'Érika Buenfil'}]}"
11,RT @mopeng: A team of University of Queensland researchers have met a proof of concept milestone in fast-tracked research to develop a vacc…,1234991924836065280,2020-03-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'mopeng'}], 'annotations': [{'start': 22, 'end': 45, 'probability': 0.9066, 'type': 'Organization', 'normalized_text': 'University of Queensland'}]}"
12,"RT @CcpsOf: Wednesday, March 4 from 4pm-6pm-Free Adolescent/Child Walk-in Vaccine Clinic at the Carroll County Health Department; see attac…",1234991923925901312,2020-03-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'CcpsOf'}], 'annotations': [{'start': 96, 'end': 127, 'probability': 0.9134, 'type': 'Organization', 'normalized_text': 'Carroll County Health Department'}]}"
