,text,id,created_at,entities
0,RT @Yamiche: Some good context as President Trump says he is pushing hard and thinks US might have a vaccine by the end of 2020. 👇🏾,1257097600995438592,2020-05-03T23:59:58.000Z,"{'annotations': [{'start': 34, 'end': 48, 'probability': 0.9221, 'type': 'Person', 'normalized_text': 'President Trump'}, {'start': 85, 'end': 86, 'probability': 0.8467, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Yamiche'}]}"
1,@TayeDiggs https://t.co/QepXzx7sTV,1257097597648396291,2020-05-03T23:59:57.000Z,"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/QepXzx7sTV', 'expanded_url': 'https://www.thegrapevine.co.ug/bill-gates-patent-666-scares-the-world-is-it-true-microsoft-has-acquired-intellectual-property-to-microchip-humans-with-the-mark-of-the-beast-in-form-of-covid-19-vaccine/', 'display_url': 'thegrapevine.co.ug/bill-gates-pat…'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'TayeDiggs'}]}"
2,RT @forwardarc: When Will a Coronavirus Vaccine Be Here? Trump confidently says: January; Dr. Birx said that is possible “on paper”. In oth…,1257097595362488320,2020-05-03T23:59:57.000Z,"{'annotations': [{'start': 57, 'end': 61, 'probability': 0.9916, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 90, 'end': 97, 'probability': 0.974, 'type': 'Person', 'normalized_text': 'Dr. Birx'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'forwardarc'}]}"
3,RT @Yamiche: Some good context as President Trump says he is pushing hard and thinks US might have a vaccine by the end of 2020. 👇🏾 https:/…,1257097590140817411,2020-05-03T23:59:55.000Z,"{'annotations': [{'start': 34, 'end': 48, 'probability': 0.9244, 'type': 'Person', 'normalized_text': 'President Trump'}, {'start': 85, 'end': 86, 'probability': 0.8573, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Yamiche'}]}"
4,"@BlessedWithout @dondekojo @NSYCAN @uwemspeaks Why not do research about vaccines yourself. If you don't want freebies, get your own vaccine",1257097587460628482,2020-05-03T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 15, 'username': 'BlessedWithout'}, {'start': 16, 'end': 26, 'username': 'dondekojo'}, {'start': 27, 'end': 34, 'username': 'NSYCAN'}, {'start': 35, 'end': 46, 'username': 'uwemspeaks'}]}"
5,"@BrittonCallie @ddale8 Well he has certainly rejected the WHO, they are coordinating efforts. Scientists will cooperate regardless. God knows what he'll do if somebody else comes up with a vaccine.",1257097586550272001,2020-05-03T23:59:55.000Z,"{'annotations': [{'start': 132, 'end': 134, 'probability': 0.9649, 'type': 'Other', 'normalized_text': 'God'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'BrittonCallie'}, {'start': 15, 'end': 22, 'username': 'ddale8'}]}"
6,"RT @JenniferJJacobs: ""I'm going to really say something that is not like me and it's not like the two of you. I know you and it's not like…",1257097584788869121,2020-05-03T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'JenniferJJacobs'}]}"
7,"RT @cynthiamckinney: I don't want Big Pharma's freakin' vaccine, @realDonaldTrump, @POTUS! Can you read that?? https://t.co/qzr2MwYfb8",1257097583274725376,2020-05-03T23:59:54.000Z,"{'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/qzr2MwYfb8', 'expanded_url': 'https://news.yahoo.com/trump-wants-to-deliver-300-million-doses-of-coronavirus-vaccine-by-the-end-of-the-year-is-that-even-possible-141124695.html', 'display_url': 'news.yahoo.com/trump-wants-to…'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'cynthiamckinney'}, {'start': 65, 'end': 81, 'username': 'realDonaldTrump'}, {'start': 83, 'end': 89, 'username': 'POTUS'}]}"
8,RT @Yamiche: Some good context as President Trump says he is pushing hard and thinks US might have a vaccine by the end of 2020. 👇🏾 https:/…,1257097580359622662,2020-05-03T23:59:53.000Z,"{'annotations': [{'start': 34, 'end': 48, 'probability': 0.9244, 'type': 'Person', 'normalized_text': 'President Trump'}, {'start': 85, 'end': 86, 'probability': 0.8573, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'Yamiche'}]}"
9,"RT @JenniferJJacobs: ""I'm going to really say something that is not like me and it's not like the two of you. I know you and it's not like…",1257097578883227648,2020-05-03T23:59:53.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'JenniferJJacobs'}]}"
