,text,id,created_at,entities
0,"RT @mmpadellan: REMINDER: trump said there'd be a vaccine BEFORE the election.

FUN FACT: That was more bullshit.",1323776968161140738,2020-11-03T23:59:58.000Z,"{'annotations': [{'start': 26, 'end': 30, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'mmpadellan'}]}"
1,RT @NotHoodlum: I was told we were going to have a coronavirus vaccine and JFK Jr. for the election.,1323776966407827456,2020-11-03T23:59:58.000Z,"{'annotations': [{'start': 75, 'end': 81, 'probability': 0.8998, 'type': 'Person', 'normalized_text': 'JFK Jr.'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'NotHoodlum'}]}"
2,@moimyselfme @mrkosii @SkyNews Development and clinical tests are two different things. Vaccine development has had revolutionary leaps in the past few years,1323776965632008195,2020-11-03T23:59:57.000Z,"{'mentions': [{'start': 13, 'end': 21, 'username': 'mrkosii'}, {'start': 22, 'end': 30, 'username': 'SkyNews'}]}"
3,"RT @dpakman: Trump still has a few hours to sign into law that healthcare bill, distribute 100 million vaccine doses, and show his taxes, b…",1323776956819673088,2020-11-03T23:59:55.000Z,"{'annotations': [{'start': 13, 'end': 17, 'probability': 0.9979, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dpakman'}]}"
4,"RT @dpakman: Trump still has a few hours to sign into law that healthcare bill, distribute 100 million vaccine doses, and show his taxes, b…",1323776956475842560,2020-11-03T23:59:55.000Z,"{'annotations': [{'start': 13, 'end': 17, 'probability': 0.9979, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dpakman'}]}"
5,@BayernSkeptic @BaguetteSZN Same I’m not an anti-vaxxer either but I’m young and healthy so I’d rather catch corona than take the vaccine that was pushed out so fast.,1323776955808915456,2020-11-03T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'BayernSkeptic'}, {'start': 15, 'end': 27, 'username': 'BaguetteSZN'}]}"
6,"RT @mmpadellan: REMINDER: trump said there'd be a vaccine BEFORE the election.

FUN FACT: That was more bullshit.",1323776953636237314,2020-11-03T23:59:54.000Z,"{'annotations': [{'start': 26, 'end': 30, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'mmpadellan'}]}"
7,"RT @mmpadellan: REMINDER: trump said there'd be a vaccine BEFORE the election.

FUN FACT: That was more bullshit.",1323776951065169923,2020-11-03T23:59:54.000Z,"{'annotations': [{'start': 26, 'end': 30, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'mmpadellan'}]}"
8,RT @angryblaqwoman: Like remember when that Zoe girl suggested using black republicans as test cases for a covid vaccine....,1323776950855471106,2020-11-03T23:59:54.000Z,"{'annotations': [{'start': 44, 'end': 46, 'probability': 0.9566, 'type': 'Person', 'normalized_text': 'Zoe'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'angryblaqwoman'}]}"
9,"RT @mmpadellan: REMINDER: trump said there'd be a vaccine BEFORE the election.

FUN FACT: That was more bullshit.",1323776949135683585,2020-11-03T23:59:53.000Z,"{'annotations': [{'start': 26, 'end': 30, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'mmpadellan'}]}"
