,text,id,created_at,entities
0,RT @marco_alonzo59: What if...Trump is lying that he got Covid so he can say he overcame it and got a Vaccine that “saved him” and all thes…,1312542938837196800,2020-10-03T23:59:57.000Z,"{'annotations': [{'start': 30, 'end': 34, 'probability': 0.9996, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 57, 'end': 61, 'probability': 0.7803, 'type': 'Person', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'marco_alonzo59'}]}"
1,"RT @MoNscience: Some say that herd immunity achieved via regular ol' infection can stop the COVID-19 outbreak and return life to normal 

H…",1312542935951392768,2020-10-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'MoNscience'}]}"
2,RT @marco_alonzo59: What if...Trump is lying that he got Covid so he can say he overcame it and got a Vaccine that “saved him” and all thes…,1312542927793590273,2020-10-03T23:59:54.000Z,"{'annotations': [{'start': 30, 'end': 34, 'probability': 0.9996, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 57, 'end': 61, 'probability': 0.7803, 'type': 'Person', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'marco_alonzo59'}]}"
3,RT @marco_alonzo59: What if...Trump is lying that he got Covid so he can say he overcame it and got a Vaccine that “saved him” and all thes…,1312542925121884160,2020-10-03T23:59:53.000Z,"{'annotations': [{'start': 30, 'end': 34, 'probability': 0.9996, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 57, 'end': 61, 'probability': 0.7803, 'type': 'Person', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'marco_alonzo59'}]}"
4,"RT @PattyHajdu: Canada's vaccine task force is supporting effective research and development, and helping us make strong evidence based dec…",1312542920319348736,2020-10-03T23:59:52.000Z,"{'annotations': [{'start': 16, 'end': 21, 'probability': 0.9898, 'type': 'Place', 'normalized_text': 'Canada'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'PattyHajdu'}]}"
5,RT @marco_alonzo59: What if...Trump is lying that he got Covid so he can say he overcame it and got a Vaccine that “saved him” and all thes…,1312542919266643968,2020-10-03T23:59:52.000Z,"{'annotations': [{'start': 30, 'end': 34, 'probability': 0.9996, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 57, 'end': 61, 'probability': 0.7803, 'type': 'Person', 'normalized_text': 'Covid'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'marco_alonzo59'}]}"
6,Or has this all been a political stunt so he can now tout “miraculous” therapeutics that he’ll say he will make available in place of a vaccine before the election? https://t.co/FWjMo4H8Vb,1312542915336564736,2020-10-03T23:59:51.000Z,"{'urls': [{'start': 165, 'end': 188, 'url': 'https://t.co/FWjMo4H8Vb', 'expanded_url': 'https://twitter.com/GiGicmka/status/1312542613581508609', 'display_url': 'twitter.com/GiGicmka/statu…'}]}"
7,"RT @Nikki_EDD: @ninnyd101 Here you go.

https://t.co/daJWQRf9NT",1312542914283597826,2020-10-03T23:59:51.000Z,"{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/daJWQRf9NT', 'expanded_url': 'https://principia-scientific.com/yet-another-uk-covid-vaccine-volunteer-suffers-brain-damage/', 'display_url': 'principia-scientific.com/yet-another-uk…'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'Nikki_EDD'}, {'start': 15, 'end': 25, 'username': 'ninnyd101'}]}"
8,"RT @RisingSolis: Now Japan is a country that cares about all of its citizens’ health and well being, not profiting from a covid vaccine not…",1312542913218441219,2020-10-03T23:59:51.000Z,"{'annotations': [{'start': 21, 'end': 25, 'probability': 0.9477, 'type': 'Place', 'normalized_text': 'Japan'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'RisingSolis'}]}"
9,"@clsooner17 @tlv1962 @peter_wells @PressSec @realDonaldTrump The first step act was just that, a first step. It's good, but not much seems to have happened since.

The platinum plan is just a ploy to get more voters on his side, it doesn't prove he's not selfish whatsoever.

I sure fucking hope they're trying to develop a vaccine.",1312542912866070536,2020-10-03T23:59:50.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'clsooner17'}, {'start': 21, 'end': 33, 'username': 'peter_wells'}, {'start': 34, 'end': 43, 'username': 'PressSec'}, {'start': 44, 'end': 60, 'username': 'realDonaldTrump'}]}"
