,text,id,created_at,entities
0,"RT @iza_IIofneptune: Wait not Robert Pattinson, I’m finding that vaccine myself- https://t.co/rV1toYtrOQ",1301671309957496834,2020-09-03T23:59:58.000Z,"{'annotations': [{'start': 30, 'end': 45, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Robert Pattinson'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/rV1toYtrOQ', 'expanded_url': 'https://twitter.com/iza_IIofneptune/status/1301601635286675456/photo/1', 'display_url': 'pic.twitter.com/rV1toYtrOQ'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'iza_IIofneptune'}]}"
1,"RT @SwagedBombshell: Mandatory Covid vaccine.......

 https://t.co/JfObx2TuwE",1301671306505498625,2020-09-03T23:59:58.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/JfObx2TuwE', 'expanded_url': 'https://twitter.com/E_herbo1k/status/1260022470435680258/video/1', 'display_url': 'pic.twitter.com/JfObx2TuwE'}]}"
2,RT @IsaiahAProphet: @meg_Y12 @drbashir2018 @CoryBooker @B52Malmet @ASlavitt @mcspocky @ArtistsPo @lfkraus @jomareewade @ElastigirlVotes @Bo…,1301671306014986240,2020-09-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'IsaiahAProphet'}, {'start': 20, 'end': 28, 'username': 'meg_Y12'}, {'start': 29, 'end': 42, 'username': 'drbashir2018'}, {'start': 43, 'end': 54, 'username': 'CoryBooker'}, {'start': 55, 'end': 65, 'username': 'B52Malmet'}, {'start': 66, 'end': 75, 'username': 'ASlavitt'}, {'start': 76, 'end': 85, 'username': 'mcspocky'}, {'start': 86, 'end': 96, 'username': 'ArtistsPo'}, {'start': 97, 'end': 105, 'username': 'lfkraus'}, {'start': 106, 'end': 118, 'username': 'jomareewade'}, {'start': 119, 'end': 135, 'username': 'ElastigirlVotes'}]}"
3,"RT @iza_IIofneptune: Wait not Robert Pattinson, I’m finding that vaccine myself- https://t.co/rV1toYtrOQ",1301671304282677249,2020-09-03T23:59:57.000Z,"{'annotations': [{'start': 30, 'end': 45, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Robert Pattinson'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/rV1toYtrOQ', 'expanded_url': 'https://twitter.com/iza_IIofneptune/status/1301601635286675456/photo/1', 'display_url': 'pic.twitter.com/rV1toYtrOQ'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'iza_IIofneptune'}]}"
4,RT @vegansprite: i’m literally begging y’all when the come out with the vaccine DO NOT get that shit.........,1301671304114962432,2020-09-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'vegansprite'}]}"
5,RT @funder: There’ll be no vaccine this year. @realDonaldTrump is lying. Pass it on.,1301671304039292928,2020-09-03T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'funder'}, {'start': 46, 'end': 62, 'username': 'realDonaldTrump'}]}"
6,"RT @SwagedBombshell: Mandatory Covid vaccine.......

 https://t.co/JfObx2TuwE",1301671303775019008,2020-09-03T23:59:57.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/JfObx2TuwE', 'expanded_url': 'https://twitter.com/E_herbo1k/status/1260022470435680258/video/1', 'display_url': 'pic.twitter.com/JfObx2TuwE'}]}"
7,"RT @iza_IIofneptune: Wait not Robert Pattinson, I’m finding that vaccine myself- https://t.co/rV1toYtrOQ",1301671303578087426,2020-09-03T23:59:57.000Z,"{'annotations': [{'start': 30, 'end': 45, 'probability': 0.9971, 'type': 'Person', 'normalized_text': 'Robert Pattinson'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/rV1toYtrOQ', 'expanded_url': 'https://twitter.com/iza_IIofneptune/status/1301601635286675456/photo/1', 'display_url': 'pic.twitter.com/rV1toYtrOQ'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'iza_IIofneptune'}]}"
8,"RT @SwagedBombshell: Mandatory Covid vaccine.......

 https://t.co/JfObx2TuwE",1301671300558196736,2020-09-03T23:59:56.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/JfObx2TuwE', 'expanded_url': 'https://twitter.com/E_herbo1k/status/1260022470435680258/video/1', 'display_url': 'pic.twitter.com/JfObx2TuwE'}]}"
9,RT @donwinslow: Ask yourself why the media is covering the ridiculous and untrue Nov 1 vaccine story as fact when they know it's a politica…,1301671299899486208,2020-09-03T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'donwinslow'}]}"
