,text,id,created_at,entities
0,RT @TheophanesRex: That Brian Mulroney guy must be SO powerful. He stopped vaccine manufacturing in Canada in such a way that nobody was ab…,1356029490275647489,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'TheophanesRex'}], 'annotations': [{'start': 24, 'end': 37, 'probability': 0.9938, 'type': 'Person', 'normalized_text': 'Brian Mulroney'}, {'start': 100, 'end': 105, 'probability': 0.9975, 'type': 'Place', 'normalized_text': 'Canada'}]}"
1,"RT @DavidJHarrisJr: We're turning into Venezuela already.
https://t.co/f3RjAx29CG",1356029490061668352,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'DavidJHarrisJr'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/f3RjAx29CG', 'expanded_url': 'https://djhjmedia.com/rich/biden-team-cannot-locate-20-million-doses-of-vaccine-sent-out-to-the-states/', 'display_url': 'djhjmedia.com/rich/biden-tea…'}], 'annotations': [{'start': 39, 'end': 47, 'probability': 0.9464, 'type': 'Place', 'normalized_text': 'Venezuela'}]}"
2,RT @UCR_ScienceNews: #Riverside employees listed as ‘emergency services workers’ get #coronavirusvaccine. “We need to protect front line fo…,1356029489201856513,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'UCR_ScienceNews'}], 'hashtags': [{'start': 21, 'end': 31, 'tag': 'Riverside'}, {'start': 85, 'end': 104, 'tag': 'coronavirusvaccine'}]}"
3,"RT @PhillyInquirer: Philadelphia’s vaccine rollout became a national cautionary tale. Now, city officials are scrambling to rebuild public…",1356029488711270408,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'PhillyInquirer'}], 'annotations': [{'start': 20, 'end': 31, 'probability': 0.9487, 'type': 'Place', 'normalized_text': 'Philadelphia'}]}"
4,"RT @ArmstrongDrew: ☝️Sundays are typically our lowest days for reporting. Many states don't update. (CDC did all weekend, however). What we…",1356029488644173826,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'ArmstrongDrew'}]}"
5,"@iianbrown @kevinbramley @JuliaHB1 @AnthonyTurton1 So, this government propaganda is so good governments all over the world have adopted it and therefore 2.2 million people who have so far died is false news? You should wake up and so should Julia, you are the problem. Remember not to accept the vaccine",1356029488333803522,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'iianbrown'}, {'start': 11, 'end': 24, 'username': 'kevinbramley'}, {'start': 25, 'end': 34, 'username': 'JuliaHB1'}, {'start': 35, 'end': 50, 'username': 'AnthonyTurton1'}], 'annotations': [{'start': 242, 'end': 246, 'probability': 0.9779, 'type': 'Person', 'normalized_text': 'Julia'}]}"
6,@jaycee1001 @Chris_K62 So we'll leave the scaremongering to MSM ok. A vaccine that won't stop you getting the virus that your immune system can beat.,1356029488207966217,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'jaycee1001'}, {'start': 12, 'end': 22, 'username': 'Chris_K62'}]}"
7,RT @HaitianBhaddie: When they tell me I got to take the vaccine to receive the $1400 check https://t.co/wnIMw4rQAO,1356029488136642560,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'HaitianBhaddie'}], 'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/wnIMw4rQAO', 'expanded_url': 'https://twitter.com/HaitianBhaddie/status/1355686219880030212/photo/1', 'display_url': 'pic.twitter.com/wnIMw4rQAO'}, {'start': 91, 'end': 114, 'url': 'https://t.co/wnIMw4rQAO', 'expanded_url': 'https://twitter.com/HaitianBhaddie/status/1355686219880030212/photo/1', 'display_url': 'pic.twitter.com/wnIMw4rQAO'}]}"
8,"RT @BaddCompani: The GOP should have NO SAY on Covid Relief

It was them who called it a Hoax 

It was them, that blocked help for American…",1356029487872405505,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'BaddCompani'}], 'annotations': [{'start': 21, 'end': 23, 'probability': 0.94, 'type': 'Organization', 'normalized_text': 'GOP'}]}"
9,"RT @POTUS: In order to get America vaccinated, we need more:

- Places for people to get vaccinated
- Medical teams to get shots into arms…",1356029487163576328,2021-01-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 9, 'username': 'POTUS'}], 'annotations': [{'start': 27, 'end': 33, 'probability': 0.994, 'type': 'Place', 'normalized_text': 'America'}]}"
