,text,id,created_at,entities
0,"RT @NBCNewsNow: Today, @POTUS announced he’s ""in charge"" of 'Operation Warp-Speed' to get a vaccine for COVID-19 by January. 
Dr. @AmeshAA…",1256010437830852609,2020-04-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'NBCNewsNow'}, {'start': 23, 'end': 29, 'username': 'POTUS'}, {'start': 130, 'end': 138, 'username': 'AmeshAA'}]}"
1,@donald_j_putin https://t.co/yn35JNaJ7g,1256010437516300288,2020-04-30T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 15, 'username': 'donald_j_putin'}], 'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/yn35JNaJ7g', 'expanded_url': 'https://www.theguardian.com/world/2020/mar/27/inside-the-race-to-develop-a-coronavirus-vaccine-covid-19', 'display_url': 'theguardian.com/world/2020/mar…'}]}"
2,"RT @doolsetbangtan: BGM: @BTS_twt -  With Seoul

Yesterday, Korea reported zero new local COVID-19 cases for the first time in months. The…",1256010436501286912,2020-04-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'doolsetbangtan'}, {'start': 25, 'end': 33, 'username': 'BTS_twt'}], 'annotations': [{'start': 42, 'end': 46, 'probability': 0.2483, 'type': 'Place', 'normalized_text': 'Seoul'}, {'start': 60, 'end': 64, 'probability': 0.8905, 'type': 'Place', 'normalized_text': 'Korea'}]}"
3,"RT @kylegriffin1: Morning Consult poll:

Just 16% of voters said Trump is doing an excellent job on testing, while 39% say he's doing a poo…",1256010430956388352,2020-04-30T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'kylegriffin1'}], 'annotations': [{'start': 65, 'end': 69, 'probability': 0.9987, 'type': 'Person', 'normalized_text': 'Trump'}]}"
4,8° Maravilha moderna https://t.co/7oUbhxabtf,1256010428951519234,2020-04-30T23:59:56.000Z,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/7oUbhxabtf', 'expanded_url': 'https://twitter.com/Natalia_Isa25/status/1255974508336484357', 'display_url': 'twitter.com/Natalia_Isa25/…'}]}"
5,RT @Archaeologuy: If you havent figured out that contact with any person who can transmit an airborne disease that is highly contagious bef…,1256010428553007105,2020-04-30T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'Archaeologuy'}]}"
6,RT @Neildixondixie: @GHS Fact is they’re not. 1 in 32 children now who are vaccinated develop autism. The link has been proven! How can you…,1256010426959015937,2020-04-30T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Neildixondixie'}, {'start': 20, 'end': 24, 'username': 'GHS'}]}"
7,"RT @doolsetbangtan: BGM: @BTS_twt -  With Seoul

Yesterday, Korea reported zero new local COVID-19 cases for the first time in months. The…",1256010426325729280,2020-04-30T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'doolsetbangtan'}, {'start': 25, 'end': 33, 'username': 'BTS_twt'}], 'annotations': [{'start': 42, 'end': 46, 'probability': 0.2483, 'type': 'Place', 'normalized_text': 'Seoul'}, {'start': 60, 'end': 64, 'probability': 0.8905, 'type': 'Place', 'normalized_text': 'Korea'}]}"
8,RT @akirareiko: Yep. En Japón están teniendo problemas para trabajar desde casa pues no tienen las herramientas mínimas necesarias (ni los…,1256010423310192643,2020-04-30T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'akirareiko'}], 'annotations': [{'start': 24, 'end': 28, 'probability': 0.9751, 'type': 'Place', 'normalized_text': 'Japón'}]}"
9,RT @jeffnewberry: @BillGates https://t.co/yPmnxqdAnp,1256010421674414080,2020-04-30T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'jeffnewberry'}, {'start': 18, 'end': 28, 'username': 'BillGates'}], 'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/yPmnxqdAnp', 'expanded_url': 'https://abcnews.go.com/Health/wireStory/polio-cases-now-caused-vaccine-wild-virus-67287290', 'display_url': 'abcnews.go.com/Health/wireSto…'}]}"
10,"RT @theRealKiyosaki: JOB of PROPHET is to be wrong. WANT TO BE WRONG on virus, economy, mandatory vaccinations and fascism. BEST WAY to mak…",1256010413080227841,2020-04-30T23:59:52.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'theRealKiyosaki'}]}"
11,"Coronavirus updates: U.S. death toll tops 60,000 as labs race for a vaccine Texas is going ahead with its planned https://t.co/BLPnKpE1QL",1256010396877586438,2020-04-30T23:59:48.000Z,"{'annotations': [{'start': 21, 'end': 24, 'probability': 0.95, 'type': 'Place', 'normalized_text': 'U.S.'}, {'start': 76, 'end': 80, 'probability': 0.9471, 'type': 'Place', 'normalized_text': 'Texas'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/BLPnKpE1QL', 'expanded_url': 'https://is.gd/QE0gFp', 'display_url': 'is.gd/QE0gFp'}]}"
12,"RT @OutFrontCNN: ""I know how hard it is for these scientists to find humans who will volunteer for things. So I was quick to put my hand up…",1256010396189839360,2020-04-30T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'OutFrontCNN'}]}"
13,RT @websterwakeemup: @Miss_Fedelm @BreitbartNews Breitbart also makes no mention of the 30+ strains of the coronavirus nor of potential new…,1256010393698414592,2020-04-30T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'websterwakeemup'}, {'start': 21, 'end': 33, 'username': 'Miss_Fedelm'}, {'start': 34, 'end': 48, 'username': 'BreitbartNews'}], 'annotations': [{'start': 49, 'end': 57, 'probability': 0.7701, 'type': 'Organization', 'normalized_text': 'Breitbart'}]}"
14,@SenSanders Corona is not an epidemic but a fatal flaw in the vaccine formula against the flu 2019-2020 So we see it spread to the northern hemisphere And kill it for the elderly thanks to Article MF59 Also containing cycalene,1256010386131861504,2020-04-30T23:59:46.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SenSanders'}]}"
15,"Weirdest conspiracy theory is that Bill Gates is behind coronavirus. He isn’t driven by income at all, he has dedicated his time and wealth towards improving the world and ridding the world of disease, not introducing it so he can make money off of the vaccine #crazies",1256010383422304259,2020-04-30T23:59:45.000Z,"{'hashtags': [{'start': 261, 'end': 269, 'tag': 'crazies'}], 'annotations': [{'start': 35, 'end': 44, 'probability': 0.9793, 'type': 'Person', 'normalized_text': 'Bill Gates'}]}"
16,@TTAVOfficial @LotusOak2 Their agenda is to get one more vaccine into the population for depopulation then they won't need vaccines the few left will be salves and easy to handle. The Jesuits know what they are doing.,1256010382696570881,2020-04-30T23:59:45.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'TTAVOfficial'}, {'start': 14, 'end': 24, 'username': 'LotusOak2'}]}"
17,"RT @Cricrifi: Time for another poll. 
@globalnews wants us to believe that 60% of Canadians think a Covid vaccine should be mandatory and t…",1256010382113738752,2020-04-30T23:59:45.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Cricrifi'}, {'start': 38, 'end': 49, 'username': 'globalnews'}]}"
18,"RT @CNN: ""I know how hard it is for these scientists to find humans who will volunteer for things. So I was quick to put my hand up,"" says…",1256010381698510851,2020-04-30T23:59:45.000Z,"{'mentions': [{'start': 3, 'end': 7, 'username': 'CNN'}]}"
