,text,id,created_at,entities
0,"RT @KHNews: “If there were ever an opportunity” to change the economics of vaccine development, “this would have been it,” said Ameet Sarpa…",1300584143269453824,2020-08-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'KHNews'}], 'annotations': [{'start': 128, 'end': 138, 'probability': 0.6131, 'type': 'Person', 'normalized_text': 'Ameet Sarpa'}]}"
1,@iamsadielumus @NaphiSoc @SaskiaPopescu @ryanlcooper FDA Commissioner Stephen Hahn said on Sunday that he is willing to end Phase 3 trials early if vaccine seems to show benefits.,1300584140220313605,2020-08-31T23:59:57.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'iamsadielumus'}, {'start': 15, 'end': 24, 'username': 'NaphiSoc'}, {'start': 25, 'end': 39, 'username': 'SaskiaPopescu'}, {'start': 40, 'end': 52, 'username': 'ryanlcooper'}], 'annotations': [{'start': 53, 'end': 55, 'probability': 0.8894, 'type': 'Organization', 'normalized_text': 'FDA'}, {'start': 70, 'end': 81, 'probability': 0.9925, 'type': 'Person', 'normalized_text': 'Stephen Hahn'}]}"
2,"RT @JReinerMD: Scott Atlas, the radiologist recruited to the admin after downplaying the pandemic on Fox News has been pushing for herd imm…",1300584136332247040,2020-08-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'JReinerMD'}], 'annotations': [{'start': 15, 'end': 25, 'probability': 0.9641, 'type': 'Person', 'normalized_text': 'Scott Atlas'}, {'start': 101, 'end': 108, 'probability': 0.9862, 'type': 'Organization', 'normalized_text': 'Fox News'}]}"
3,"I thought there was a vaccine coming ""very very soon"" https://t.co/2WJaB6UvuV",1300584136332066816,2020-08-31T23:59:56.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/2WJaB6UvuV', 'expanded_url': 'https://twitter.com/washingtonpost/status/1300412315884548096', 'display_url': 'twitter.com/washingtonpost…'}]}"
4,@jsolomonReports Has Moderna ever produced vaccines before or was all their work in GMOs?,1300584132867620864,2020-08-31T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 16, 'username': 'jsolomonReports'}]}"
5,RT @Proud1inUSA: Did you know that Kamala Harris husband Doug Emhoff is a big pharma lawyer for Merck?  (vaccine manufacturer),1300584132234207233,2020-08-31T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Proud1inUSA'}], 'annotations': [{'start': 35, 'end': 47, 'probability': 0.9827, 'type': 'Person', 'normalized_text': 'Kamala Harris'}, {'start': 57, 'end': 67, 'probability': 0.9964, 'type': 'Person', 'normalized_text': 'Doug Emhoff'}]}"
6,RT @Proud1inUSA: Did you know that Kamala Harris husband Doug Emhoff is a big pharma lawyer for Merck?  (vaccine manufacturer),1300584131319853057,2020-08-31T23:59:55.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Proud1inUSA'}], 'annotations': [{'start': 35, 'end': 47, 'probability': 0.9827, 'type': 'Person', 'normalized_text': 'Kamala Harris'}, {'start': 57, 'end': 67, 'probability': 0.9964, 'type': 'Person', 'normalized_text': 'Doug Emhoff'}]}"
7,RT @my3monkees: Hate myself on video BUT have to put this ? out- do u feel like this covid/mask thing was a compliance test (that we failed…,1300584128434274305,2020-08-31T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'my3monkees'}]}"
8,"@blazin371 Yeah, I am not taking a vaccine either!",1300584125384912898,2020-08-31T23:59:53.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'blazin371'}]}"
9,"RT @USlawreview: Tell me again why we, “can’t get back to normal” until there’s a vaccine ?? https://t.co/7vaturHhn6",1300584119571812352,2020-08-31T23:59:52.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'USlawreview'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/7vaturHhn6', 'expanded_url': 'https://twitter.com/USlawreview/status/1300580824232976386/photo/1', 'display_url': 'pic.twitter.com/7vaturHhn6'}]}"
