,text,id,created_at,entities
0,RT @AP: Authorities have arrested a suburban Milwaukee pharmacist suspected of deliberately ruining hundreds of doses of coronavirus vaccin…,1344795464437125120,2020-12-31T23:59:58.000Z,"{'annotations': [{'start': 45, 'end': 53, 'probability': 0.9005, 'type': 'Place', 'normalized_text': 'Milwaukee'}], 'mentions': [{'start': 3, 'end': 6, 'username': 'AP'}]}"
1,"RT @MittRomney: This Christmas comes in the midst of a very difficult year. Despite these challenges, there is reason for hope. From neighb…",1344795464231772161,2020-12-31T23:59:58.000Z,"{'annotations': [{'start': 21, 'end': 29, 'probability': 0.9894, 'type': 'Other', 'normalized_text': 'Christmas'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'MittRomney'}]}"
2,Why Coronavirus Vaccine Distribution is Taking Longer Than Expected https://t.co/m2efDkd5jz,1344795464126746626,2020-12-31T23:59:58.000Z,"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/m2efDkd5jz', 'expanded_url': 'https://nyti.ms/3mYIg6x', 'display_url': 'nyti.ms/3mYIg6x'}], 'annotations': [{'start': 4, 'end': 35, 'probability': 0.2916, 'type': 'Organization', 'normalized_text': 'Coronavirus Vaccine Distribution'}]}"
3,"RT @SafetyPinDaily: Florida's first-come, first-serve Covid-19 vaccination plan for the elderly leads to scramble || Via CNN https://t.co/r…",1344795463770320896,2020-12-31T23:59:58.000Z,"{'annotations': [{'start': 20, 'end': 26, 'probability': 0.9591, 'type': 'Place', 'normalized_text': 'Florida'}, {'start': 121, 'end': 123, 'probability': 0.5335, 'type': 'Organization', 'normalized_text': 'CNN'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'SafetyPinDaily'}]}"
4,"Officials in W. Va. gave 42 people Regeneron's  Covid treatment instead of the vaccine.  State Covid chief: ""This occurrence provides our leadership team an important opportunity to review and improve the safety and process of vaccination for each West Virginian.”",1344795463438934016,2020-12-31T23:59:58.000Z,"{'annotations': [{'start': 13, 'end': 17, 'probability': 0.9345, 'type': 'Place', 'normalized_text': 'W. Va'}]}"
5,RT @sociovirology: Gente podemos comerle las tapas a los estados. Allá se han distribuido sólo ~8% de las vacunas. En PR se acabó con todas…,1344795463266959360,2020-12-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'sociovirology'}]}"
6,20 million people were supposed to have been vaccinated by today. Only 3 million have. We have 1.3 million service members who could help distribute this vaccine effectively and save lives––instead we spend $740 billion to have them terrorize other countries for oil and power. https://t.co/RkHeQN9bwr,1344795461136297985,2020-12-31T23:59:57.000Z,"{'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/RkHeQN9bwr', 'expanded_url': 'https://twitter.com/kenklippenstein/status/1344711675392483328', 'display_url': 'twitter.com/kenklippenstei…'}]}"
7,"RT @dcmadness202: The vaccine is only 52% effective starting two weeks after the first dose. When you get the second dose, the vaccine is 9…",1344795460431532032,2020-12-31T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'dcmadness202'}]}"
8,.@crechecare has released their #Covid19 Pandemic Mobile Command Center. The all-in-one system eliminates storage &amp; handling errors and financial losses that retail #pharmacies &amp; #hospitals incur with drive-thru #vaccine clinics. https://t.co/OkNFdEDd5F https://t.co/EfeKOmPH5n,1344795459542515712,2020-12-31T23:59:57.000Z,"{'urls': [{'start': 238, 'end': 261, 'url': 'https://t.co/OkNFdEDd5F', 'expanded_url': 'https://prn.to/351Sehp', 'display_url': 'prn.to/351Sehp'}, {'start': 262, 'end': 285, 'url': 'https://t.co/EfeKOmPH5n', 'expanded_url': 'https://twitter.com/PRNhealth/status/1344795459542515712/photo/1', 'display_url': 'pic.twitter.com/EfeKOmPH5n'}], 'hashtags': [{'start': 32, 'end': 40, 'tag': 'Covid19'}, {'start': 169, 'end': 180, 'tag': 'pharmacies'}, {'start': 187, 'end': 197, 'tag': 'hospitals'}, {'start': 220, 'end': 228, 'tag': 'vaccine'}], 'annotations': [{'start': 41, 'end': 70, 'probability': 0.2505, 'type': 'Other', 'normalized_text': 'Pandemic Mobile Command Center'}], 'mentions': [{'start': 1, 'end': 12, 'username': 'crechecare'}]}"
9,RT @_whitneywebb: NEW at Unlimited Hangout! @JohnnyVedmore explores several scandalous disconnects between what the UK's official guidance…,1344795459487899649,2020-12-31T23:59:57.000Z,"{'annotations': [{'start': 25, 'end': 41, 'probability': 0.3561, 'type': 'Other', 'normalized_text': 'Unlimited Hangout'}, {'start': 116, 'end': 117, 'probability': 0.9363, 'type': 'Place', 'normalized_text': 'UK'}], 'mentions': [{'start': 3, 'end': 16, 'username': '_whitneywebb'}, {'start': 44, 'end': 58, 'username': 'JohnnyVedmore'}]}"
10,"RT @ksorbs: We went from “Wash your hands, don’t touch your face.” To “If you don’t take the vaccine you’ll lose your job and be banned fro…",1344795457873203200,2020-12-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'ksorbs'}]}"
11,RT @abbiehive: I still use my naked palette from 2010 I am not worried about what’s in the vaccine,1344795457688645633,2020-12-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'abbiehive'}]}"
12,"@GovRonDeSantis I am in Washoe County, Nevada.  I was #46,000 something, in line for my Covid vaccine.  Due to politicians &amp; prisoners, I’ve dropped down about another thousand.  I guess it doesn’t matter, since we’re all LOCKED DOWN!",1344795456891588608,2020-12-31T23:59:56.000Z,"{'annotations': [{'start': 24, 'end': 36, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'Washoe County'}, {'start': 39, 'end': 44, 'probability': 0.4738, 'type': 'Place', 'normalized_text': 'Nevada'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'GovRonDeSantis'}]}"
13,"RT @TheDA_UK: We have real and grave concerns about these sudden changes to the Pfizer vaccine regime

It undermines the consent process, a…",1344795456572948480,2020-12-31T23:59:56.000Z,"{'annotations': [{'start': 80, 'end': 85, 'probability': 0.3889, 'type': 'Organization', 'normalized_text': 'Pfizer'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'TheDA_UK'}]}"
14,@dougducey It should be incumbent on you to make sure the covid vaccinations are dispensed as quickly as possible. It is a lifesaver. As of today only 43.7k vaccines have been given. Ohio has given 94k (as an example) what’s holding up AZ from dispensing the vaccine more quickly?,1344795455847206915,2020-12-31T23:59:56.000Z,"{'annotations': [{'start': 183, 'end': 186, 'probability': 0.9406, 'type': 'Place', 'normalized_text': 'Ohio'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'dougducey'}]}"
15,"RT @Hepworthclare: Pfizer have made it clear, in  a statement,#bbcnews the vaccine is not effective after 21 days,therefore a 3 week 2nd ja…",1344795454865870848,2020-12-31T23:59:56.000Z,"{'hashtags': [{'start': 62, 'end': 70, 'tag': 'bbcnews'}], 'annotations': [{'start': 19, 'end': 24, 'probability': 0.8658, 'type': 'Organization', 'normalized_text': 'Pfizer'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Hepworthclare'}]}"
16,"RT @krystafauria: GRAFTON, Wis. (AP) — Police in Wisconsin say they've arrested fired hospital employee suspected of intentionally spoiling…",1344795454601457664,2020-12-31T23:59:56.000Z,"{'annotations': [{'start': 18, 'end': 29, 'probability': 0.3555, 'type': 'Place', 'normalized_text': 'GRAFTON, Wis'}, {'start': 49, 'end': 57, 'probability': 0.9922, 'type': 'Place', 'normalized_text': 'Wisconsin'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'krystafauria'}]}"
17,"RT @ksorbs: We went from “Wash your hands, don’t touch your face.” To “If you don’t take the vaccine you’ll lose your job and be banned fro…",1344795454496792576,2020-12-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'ksorbs'}]}"
18,"RT @js100js100: Good explanation of the mRNA ""vaccines"" (like Pfizer and Moderna's). Anyone know who it is speaking? https://t.co/zhoFkPNDvm",1344795454459027458,2020-12-31T23:59:56.000Z,"{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/zhoFkPNDvm', 'expanded_url': 'https://twitter.com/js100js100/status/1344658205104877575/video/1', 'display_url': 'pic.twitter.com/zhoFkPNDvm'}], 'annotations': [{'start': 62, 'end': 67, 'probability': 0.54, 'type': 'Organization', 'normalized_text': 'Pfizer'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'js100js100'}]}"
