,text,id,created_at,entities
0,@scottjohnson But that doesn’t mean they won’t be administered the vaccine. There are instances where people are provided medical treatment and if they can’t pay the hospital will cover.,1233904777647546369,2020-02-29T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'scottjohnson'}]}"
1,"RT @Laurie_Garrett: @sciencecohen Cautionary tale:
#SARS emerged in 2003
#MERS emerged in 2013

Both are #coronaviruses -- cousins of the #…",1233904754503217153,2020-02-29T23:59:52.000Z,"{'hashtags': [{'start': 51, 'end': 56, 'tag': 'SARS'}, {'start': 73, 'end': 78, 'tag': 'MERS'}, {'start': 105, 'end': 119, 'tag': 'coronaviruses'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'Laurie_Garrett'}, {'start': 20, 'end': 33, 'username': 'sciencecohen'}]}"
2,"RT @josephzeballos: NEW: The prospect of a coronavirus vaccine is still a year off, but a little-known provision of Obamacare would likely…",1233904753706401792,2020-02-29T23:59:52.000Z,"{'annotations': [{'start': 116, 'end': 124, 'probability': 0.3506, 'type': 'Other', 'normalized_text': 'Obamacare'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'josephzeballos'}]}"
3,"@DynastyDriven @HarmlessYardDog I generalized “Plague” - bubonic, pneumonic, at least plague they have a vaccine (recall getting that in the Military I believe).",1233904748945821696,2020-02-29T23:59:51.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'DynastyDriven'}, {'start': 15, 'end': 31, 'username': 'HarmlessYardDog'}]}"
4,RT @jeantissociall_: a amizade moderna eh isso https://t.co/wA8ynNpZKC,1233904747595419650,2020-02-29T23:59:51.000Z,"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/wA8ynNpZKC', 'expanded_url': 'https://twitter.com/jeantissociall_/status/1233586742743240708/photo/1', 'display_url': 'pic.twitter.com/wA8ynNpZKC'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'jeantissociall_'}]}"
5,"@SimoneReports People who are getting rich from the Coronavirus #Crisis.  #COVID19 #Coronavirus #SARS_CoV_2 #Pandemic

https://t.co/Nt5OQj57K4",1233904735435931648,2020-02-29T23:59:48.000Z,"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/Nt5OQj57K4', 'expanded_url': 'https://bit.ly/2VyWlxJ', 'display_url': 'bit.ly/2VyWlxJ'}], 'hashtags': [{'start': 64, 'end': 71, 'tag': 'Crisis'}, {'start': 74, 'end': 82, 'tag': 'COVID19'}, {'start': 83, 'end': 95, 'tag': 'Coronavirus'}, {'start': 96, 'end': 107, 'tag': 'SARS_CoV_2'}, {'start': 108, 'end': 117, 'tag': 'Pandemic'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'SimoneReports'}]}"
6,RT @jeantissociall_: a amizade moderna eh isso https://t.co/wA8ynNpZKC,1233904729308135424,2020-02-29T23:59:46.000Z,"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/wA8ynNpZKC', 'expanded_url': 'https://twitter.com/jeantissociall_/status/1233586742743240708/photo/1', 'display_url': 'pic.twitter.com/wA8ynNpZKC'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'jeantissociall_'}]}"
7,"RT @nelsonhbarbosa: 1/ Operação compromissada com título privado não bancário já estava na origem dos bancos centrais, ver a ""real bills do…",1233904728918122496,2020-02-29T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'nelsonhbarbosa'}]}"
8,"RT @theintercept: Alex Azar, the Secretary of Health and Human Services, admitted Wednesday that a vaccine for the coronavirus might not be…",1233904728863473664,2020-02-29T23:59:46.000Z,"{'annotations': [{'start': 18, 'end': 26, 'probability': 0.9968, 'type': 'Person', 'normalized_text': 'Alex Azar'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'theintercept'}]}"
9,RT @26aball: @DrDenaGrayson @Twitter Will the lack of Universal healthcare in the US cause people to not seek treatment and thereby lead to…,1233904723733778432,2020-02-29T23:59:45.000Z,"{'annotations': [{'start': 82, 'end': 83, 'probability': 0.9794, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 3, 'end': 11, 'username': '26aball'}, {'start': 13, 'end': 27, 'username': 'DrDenaGrayson'}, {'start': 28, 'end': 36, 'username': 'Twitter'}]}"
