,text,id,created_at,entities
0,"RT @David_Mulroney: Hard to believe, but China appears to be an unreliable partner on a sensitive project of national importance!https://t.…",1289350121281527809,2020-07-31T23:59:58.000Z,"{'annotations': [{'start': 41, 'end': 45, 'probability': 0.9778, 'type': 'Place', 'normalized_text': 'China'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'David_Mulroney'}]}"
1,@Fronterakid @DerekCressman Wait until he get re-elected and withholds the vaccine for states the supported him.,1289350113257639936,2020-07-31T23:59:56.000Z,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Fronterakid'}, {'start': 13, 'end': 27, 'username': 'DerekCressman'}]}"
2,RT @ClaudioXGG: La 4t está resultando ser la administración más inepta y con peores resultados de la historia moderna de México... y eso no…,1289350111290482688,2020-07-31T23:59:56.000Z,"{'annotations': [{'start': 19, 'end': 20, 'probability': 0.4327, 'type': 'Organization', 'normalized_text': '4t'}, {'start': 121, 'end': 126, 'probability': 0.9674, 'type': 'Place', 'normalized_text': 'México'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'ClaudioXGG'}]}"
3,@riarenouf @mario_canseco @NEWS1130 Wouldn't travel anywhere outside of BC without a vaccine unless it was for work.,1289350108257988609,2020-07-31T23:59:55.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'riarenouf'}, {'start': 11, 'end': 25, 'username': 'mario_canseco'}, {'start': 26, 'end': 35, 'username': 'NEWS1130'}]}"
4,"RT @mario_canseco: Without COVID-19 vaccine, most Canadians and Americans unwilling to travel: poll https://t.co/mkuLHuEXCh",1289350100074995713,2020-07-31T23:59:53.000Z,"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/mkuLHuEXCh', 'expanded_url': 'https://bc.ctvnews.ca/without-covid-19-vaccine-most-canadians-and-americans-unwilling-to-travel-poll-1.5047066', 'display_url': 'bc.ctvnews.ca/without-covid-…'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'mario_canseco'}]}"
5,"RT @charliekirk11: Let me get this straight—Bill Gates, a software developer, is allowed a platform to discuss a vaccine

 ...But actual Do…",1289350095519940608,2020-07-31T23:59:52.000Z,"{'annotations': [{'start': 44, 'end': 53, 'probability': 0.819, 'type': 'Person', 'normalized_text': 'Bill Gates'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'charliekirk11'}]}"
6,RT @gurveysLaw: Attorney @nelsonh joins Alan &amp; @KerriKasem to discuss a COVID-19 vaccine coming to market &amp; if it will be mandatory for kid…,1289350091153670144,2020-07-31T23:59:51.000Z,"{'annotations': [{'start': 40, 'end': 43, 'probability': 0.8941, 'type': 'Person', 'normalized_text': 'Alan'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'gurveysLaw'}, {'start': 25, 'end': 33, 'username': 'nelsonh'}, {'start': 51, 'end': 62, 'username': 'KerriKasem'}]}"
7,"Pfizer (NYSE:PFE) and BioNTech (NASDAQ:BNTX) say they will supply Japan with 120M doses of their mRNA-based vaccine candidate against the coronavirus in H1 2021; financial details are not disclosed.

The companies say they are ... https://t.co/4BXDLOyife",1289350089933115393,2020-07-31T23:59:51.000Z,"{'urls': [{'start': 231, 'end': 254, 'url': 'https://t.co/4BXDLOyife', 'expanded_url': 'https://stocktwits.com/wallpips/message/232754971', 'display_url': 'stocktwits.com/wallpips/messa…'}], 'annotations': [{'start': 0, 'end': 5, 'probability': 0.8347, 'type': 'Organization', 'normalized_text': 'Pfizer'}, {'start': 8, 'end': 11, 'probability': 0.5956, 'type': 'Organization', 'normalized_text': 'NYSE'}, {'start': 22, 'end': 29, 'probability': 0.7816, 'type': 'Organization', 'normalized_text': 'BioNTech'}, {'start': 32, 'end': 37, 'probability': 0.5291, 'type': 'Organization', 'normalized_text': 'NASDAQ'}, {'start': 66, 'end': 70, 'probability': 0.8221, 'type': 'Place', 'normalized_text': 'Japan'}]}"
8,"RT @charliekirk11: Let me get this straight—Bill Gates, a software developer, is allowed a platform to discuss a vaccine

 ...But actual Do…",1289350089195094016,2020-07-31T23:59:50.000Z,"{'annotations': [{'start': 44, 'end': 53, 'probability': 0.819, 'type': 'Person', 'normalized_text': 'Bill Gates'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'charliekirk11'}]}"
9,"RT @NicolasMaduro: Triste noticia la partida física de Eusebio Leal, hijo insigne de nuestra Cuba Heroica. Jamás se podrá hablar de la hist…",1289350087240368129,2020-07-31T23:59:50.000Z,"{'annotations': [{'start': 55, 'end': 66, 'probability': 0.9349, 'type': 'Person', 'normalized_text': 'Eusebio Leal'}, {'start': 93, 'end': 96, 'probability': 0.6122, 'type': 'Place', 'normalized_text': 'Cuba'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'NicolasMaduro'}]}"
10,"RT @davidrliu: If you are looking for a clear, beautifully written summary of your immune system, how it works against the #SARSCoV2 virus…",1289350077761204225,2020-07-31T23:59:48.000Z,"{'hashtags': [{'start': 123, 'end': 132, 'tag': 'SARSCoV2'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'davidrliu'}]}"
11,"@realJackAssels @youtwitface @EdWhelanEPPC @JonahDispatch Are you from the future?

Because we have no idea how many are going to be infected before a viable vaccine is produced in large enough quantities.

Besides, the numbers already disprove a 0.6% IFR, unless 10% of the US has already been infected. (hint: it hasn't)",1289350077413113858,2020-07-31T23:59:48.000Z,"{'annotations': [{'start': 275, 'end': 276, 'probability': 0.9191, 'type': 'Place', 'normalized_text': 'US'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'realJackAssels'}, {'start': 16, 'end': 28, 'username': 'youtwitface'}, {'start': 29, 'end': 42, 'username': 'EdWhelanEPPC'}, {'start': 43, 'end': 57, 'username': 'JonahDispatch'}]}"
12,"RT @kalakumag: I can guarantee also....

Golpe de gulat sa SOCMED itong si Tatay ilong sa December!

Walang Vaccine, walang trabaho,walang…",1289350070962229248,2020-07-31T23:59:46.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'kalakumag'}]}"
