,text,id,created_at,entities
0,"RT @ouciume: a amizade moderna é baseada no seguinte diálogo:

- amiga tá foda
- amiga nem fala",1278116094612516866,2020-06-30T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'ouciume'}]}"
1,"@sesaunders101 @doritmi Hello vaccine entusiasts! 
May aluminum molecules from flu vaccines in your synapses vibrate in anticipation!  What's up?",1278116093123534848,2020-06-30T23:59:57.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'sesaunders101'}, {'start': 15, 'end': 23, 'username': 'doritmi'}]}"
2,RT @BernieSanders: Congress must ensure that the treatment and the vaccine for coronavirus are free to all Americans. You should not have t…,1278116092519555074,2020-06-30T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'BernieSanders'}], 'annotations': [{'start': 107, 'end': 115, 'probability': 0.5028, 'type': 'Person', 'normalized_text': 'Americans'}]}"
3,RT @SandyBa23975321: @CarlosLoret @lopezobrador_ @WRADIOMexico El mejor Presidente de la historia moderna de México!! Nunca se había visto…,1278116092498653185,2020-06-30T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'SandyBa23975321'}, {'start': 21, 'end': 33, 'username': 'CarlosLoret'}, {'start': 34, 'end': 48, 'username': 'lopezobrador_'}, {'start': 49, 'end': 62, 'username': 'WRADIOMexico'}], 'annotations': [{'start': 109, 'end': 114, 'probability': 0.9714, 'type': 'Place', 'normalized_text': 'México'}]}"
4,RT @eugenegu: @realDonaldTrump The President of the United States should be focused on containing the virus here in our country through pre…,1278116088111263744,2020-06-30T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'eugenegu'}, {'start': 14, 'end': 30, 'username': 'realDonaldTrump'}], 'annotations': [{'start': 52, 'end': 64, 'probability': 0.8232, 'type': 'Place', 'normalized_text': 'United States'}]}"
5,"RT @dsizzo: @HBombSpeaks @JeffreyCook @jaredpolis There is ""proof"" wearing a mask slows transmission. #ItsUndisputable

There will be a vac…",1278116076342173699,2020-06-30T23:59:53.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'dsizzo'}, {'start': 12, 'end': 24, 'username': 'HBombSpeaks'}, {'start': 25, 'end': 37, 'username': 'JeffreyCook'}, {'start': 38, 'end': 49, 'username': 'jaredpolis'}], 'hashtags': [{'start': 102, 'end': 118, 'tag': 'ItsUndisputable'}]}"
6,"RT @science_cited: The vaccine will be sold in exchange for convenience.

Most will find it convenient to...

😷 Remove their mask
🏥 Get med…",1278116070956531712,2020-06-30T23:59:52.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'science_cited'}]}"
7,"RT @louisquantrille: “Today we found out mom is a raging republican, anti-vaccine, anti-mask, and pro-police... well.. GOOD LUCK CHARLIE.”…",1278116067630604288,2020-06-30T23:59:51.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'louisquantrille'}], 'annotations': [{'start': 129, 'end': 135, 'probability': 0.7154, 'type': 'Person', 'normalized_text': 'CHARLIE'}]}"
8,"RT @louisquantrille: “Today we found out mom is a raging republican, anti-vaccine, anti-mask, and pro-police... well.. GOOD LUCK CHARLIE.”…",1278116065000558595,2020-06-30T23:59:50.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'louisquantrille'}], 'annotations': [{'start': 129, 'end': 135, 'probability': 0.7154, 'type': 'Person', 'normalized_text': 'CHARLIE'}]}"
9,$ESE dirt cheap sanitizer stock. Ex Pfizer Israel in. 🚀 🚀 https://t.co/FRpbIMgsAz,1278116052694523904,2020-06-30T23:59:47.000Z,"{'cashtags': [{'start': 0, 'end': 4, 'tag': 'ESE'}], 'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/FRpbIMgsAz', 'expanded_url': 'https://twitter.com/ParlayPay/status/1278116052694523904/photo/1', 'display_url': 'pic.twitter.com/FRpbIMgsAz'}]}"
