,text,id,created_at,entities
0,"RT @Tomas_Verde: This content        a COVID-19 vaccine
 
                       🤝
      inject it to my bloodstream",1245138803356053508,2020-03-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Tomas_Verde'}]}"
1,"@eugenegu So, my dog can get a vaccine for corona (I get not this strand), so there really is not vaccines for other corona strands that can be adapted sooner than 18 months? I am not being snarky at all. I remember when H1N1 vaccine was out in 6 months and realize vaccines save lives!",1245138803007913993,2020-03-31T23:59:58.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'eugenegu'}]}"
2,"RT @revistavistazo: #ATENCIÓN En medio de las malas noticias por la pandemia del COVID-19, la comunidad científica acaba de anunciar un nue…",1245138802185822212,2020-03-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'revistavistazo'}], 'hashtags': [{'start': 20, 'end': 29, 'tag': 'ATENCIÓN'}]}"
3,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138801896443905,2020-03-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
4,"RT @DoctorYasmin: Gutted. A kind person, a stellar vaccine scientist, a ""towering HIV prevention research leader,"" someone who dedicated he…",1245138793637670912,2020-03-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'DoctorYasmin'}], 'annotations': [{'start': 82, 'end': 84, 'probability': 0.6304, 'type': 'Other', 'normalized_text': 'HIV'}]}"
5,"RT @DoctorYasmin: Gutted. A kind person, a stellar vaccine scientist, a ""towering HIV prevention research leader,"" someone who dedicated he…",1245138792912162819,2020-03-31T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'DoctorYasmin'}], 'annotations': [{'start': 82, 'end': 84, 'probability': 0.6304, 'type': 'Other', 'normalized_text': 'HIV'}]}"
6,@Farrel_Fan Cure for Covid-19 and Vaccine https://t.co/XVSwpa3gHb,1245138788650811392,2020-03-31T23:59:55.000Z,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/XVSwpa3gHb', 'expanded_url': 'https://twitter.com/Geo97024935/status/1245138788650811392/photo/1', 'display_url': 'pic.twitter.com/XVSwpa3gHb'}, {'start': 42, 'end': 65, 'url': 'https://t.co/XVSwpa3gHb', 'expanded_url': 'https://twitter.com/Geo97024935/status/1245138788650811392/photo/1', 'display_url': 'pic.twitter.com/XVSwpa3gHb'}, {'start': 42, 'end': 65, 'url': 'https://t.co/XVSwpa3gHb', 'expanded_url': 'https://twitter.com/Geo97024935/status/1245138788650811392/photo/1', 'display_url': 'pic.twitter.com/XVSwpa3gHb'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'Farrel_Fan'}]}"
7,"RT @Tomas_Verde: This content        a COVID-19 vaccine
 
                       🤝
      inject it to my bloodstream",1245138784024485889,2020-03-31T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Tomas_Verde'}]}"
8,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138782728355842,2020-03-31T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
9,"RT @Tomas_Verde: This content        a COVID-19 vaccine
 
                       🤝
      inject it to my bloodstream https://t.co/Aidw77DIyp",1245138779829989376,2020-03-31T23:59:53.000Z,"{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/Aidw77DIyp', 'expanded_url': 'https://twitter.com/dog_rates/status/1245045783973552128', 'display_url': 'twitter.com/dog_rates/stat…'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'Tomas_Verde'}]}"
10,"We recommend a number of research targets for the nanotechnology community:

(a)  Rapid point-of-care diagnostics
(b) Surveillance and monitoring
(c) Therapeutics
(d) Vaccine development",1245138779050033158,2020-03-31T23:59:53.000Z,None
11,"Nano Research for COVID-19
https://t.co/KT0KXDQR6o

""The nanotechnology community can contribute significantly in the fight against COVID-19. 
Nanomaterials have been used for the development of point-of-care diagnostics, carriers for therapeutics, and vaccine development.",1245138777800146945,2020-03-31T23:59:52.000Z,"{'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/KT0KXDQR6o', 'expanded_url': 'https://pubs.acs.org/doi/10.1021/acsnano.0c02540#', 'display_url': 'pubs.acs.org/doi/10.1021/ac…'}]}"
12,RT @eugenegu: Flattening the curve does not prevent us from becoming infected. What it does is prevent us from becoming infected all at onc…,1245138773249155073,2020-03-31T23:59:51.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'eugenegu'}]}"
13,"RT @ScienceBritain: Coronavirus: “Have I found an ingredient for a #vaccine?”
Our chairman Professor Gus Dalgleish offers a potential treat…",1245138761521954816,2020-03-31T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'ScienceBritain'}], 'annotations': [{'start': 91, 'end': 113, 'probability': 0.5647, 'type': 'Person', 'normalized_text': 'Professor Gus Dalgleish'}], 'hashtags': [{'start': 67, 'end': 75, 'tag': 'vaccine'}]}"
14,"RT @Tomas_Verde: This content        a COVID-19 vaccine
 
                       🤝
      inject it to my bloodstream",1245138761391972354,2020-03-31T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Tomas_Verde'}]}"
15,I contacted my local medical centre here where I live and they have not got the flu vaccine yet as they might have it next week just before Easter.,1245138760360054786,2020-03-31T23:59:48.000Z,None
16,"RT @DoctorYasmin: Gutted. A kind person, a stellar vaccine scientist, a ""towering HIV prevention research leader,"" someone who dedicated he…",1245138755759091714,2020-03-31T23:59:47.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'DoctorYasmin'}], 'annotations': [{'start': 82, 'end': 84, 'probability': 0.6304, 'type': 'Other', 'normalized_text': 'HIV'}]}"
17,"@HunkyD_LS For as long as there's no vaccine, might even extent to 12 18 months",1245138754404257794,2020-03-31T23:59:47.000Z,None
18,"RT @_josephrosa: amizade moderna pra mim são duas pessoas que não tem noção do que estão fazendo da vida, mas que mesmo assim aconselham a…",1245138744245735430,2020-03-31T23:59:44.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': '_josephrosa'}]}"
19,@ashieadams I think it’s also to allow time to find a vaccine and time to find resources because hospitals having to turn people away when it’s at its worst is a huge concern,1245138743578611713,2020-03-31T23:59:44.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'ashieadams'}]}"
20,@M_ZGLAM @Yi2wmcgYsHn6bAG @azzomoh12 😂😂😂😂 أستفدت من التجربه خذيت vaccine,1245138737509662721,2020-03-31T23:59:43.000Z,"{'mentions': [{'start': 0, 'end': 8, 'username': 'M_ZGLAM'}, {'start': 9, 'end': 25, 'username': 'Yi2wmcgYsHn6bAG'}, {'start': 26, 'end': 36, 'username': 'azzomoh12'}]}"
21,"RT @revistavistazo: #ATENCIÓN En medio de las malas noticias por la pandemia del COVID-19, la comunidad científica acaba de anunciar un nue…",1245138737098559496,2020-03-31T23:59:43.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'revistavistazo'}], 'hashtags': [{'start': 20, 'end': 29, 'tag': 'ATENCIÓN'}]}"
22,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138734884028416,2020-03-31T23:59:42.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
23,"@Nightline Who thought we would be rooting for candidates &amp; following the front runners and it has nothing to do with the #2020PresidentialRace 
#Covid_19 #vaccine",1245138731557957632,2020-03-31T23:59:41.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Nightline'}], 'hashtags': [{'start': 126, 'end': 147, 'tag': '2020PresidentialRace'}, {'start': 149, 'end': 158, 'tag': 'Covid_19'}, {'start': 159, 'end': 167, 'tag': 'vaccine'}]}"
24,RT @luqmom: We just want a fucking vaccine,1245138717091733505,2020-03-31T23:59:38.000Z,"{'mentions': [{'start': 3, 'end': 10, 'username': 'luqmom'}]}"
25,"RT @RobGeorge: Rich, the president himself was comparing it the flu (and questioning why the flu vaccine wouldn't work) -- just weeks ago!",1245138703779074050,2020-03-31T23:59:35.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'RobGeorge'}]}"
26,"RT @DrDenaGrayson: In the face of this deadly #CoronavirusPandemic for which we have no proven treatments or a vaccine, the *only* way to s…",1245138702147506178,2020-03-31T23:59:34.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'DrDenaGrayson'}], 'hashtags': [{'start': 46, 'end': 66, 'tag': 'CoronavirusPandemic'}]}"
27,RT @GOPChairwoman: Getting a coronavirus vaccine into Phase 1 of testing has occurred the fastest “that anyone has ever done literally in t…,1245138701728038919,2020-03-31T23:59:34.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'GOPChairwoman'}]}"
28,"🔷 NJ UPDATE

🔷 CORPORATE DONATIONS
▪️ Johnson and Johnson: 10,000 goggles and financial contribution and continuing to work on vaccine

#COVID19  #COVID19NJ   #coronavirus #coronavirusNJ",1245138700742414338,2020-03-31T23:59:34.000Z,"{'annotations': [{'start': 40, 'end': 46, 'probability': 0.7457, 'type': 'Person', 'normalized_text': 'Johnson'}, {'start': 52, 'end': 58, 'probability': 0.6372, 'type': 'Person', 'normalized_text': 'Johnson'}], 'hashtags': [{'start': 136, 'end': 144, 'tag': 'COVID19'}, {'start': 146, 'end': 156, 'tag': 'COVID19NJ'}, {'start': 159, 'end': 171, 'tag': 'coronavirus'}, {'start': 172, 'end': 186, 'tag': 'coronavirusNJ'}]}"
29,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138696556314625,2020-03-31T23:59:33.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
30,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138696329760768,2020-03-31T23:59:33.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
31,"RT @DoctorYasmin: Gutted. A kind person, a stellar vaccine scientist, a ""towering HIV prevention research leader,"" someone who dedicated he…",1245138687471558657,2020-03-31T23:59:31.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'DoctorYasmin'}], 'annotations': [{'start': 82, 'end': 84, 'probability': 0.6304, 'type': 'Other', 'normalized_text': 'HIV'}]}"
32,"The President just had a Coronavirus presser. Predictably the Twitterati burst into flames. Insane tweets full of rage. It may be some time before this virus has a vaccine, but we will never be inoculated against hate. Hate is just as infectious and exponentially more dangerous.",1245138683369361408,2020-03-31T23:59:30.000Z,None
33,"RT @SkyNews: ""We will start by focusing on getting a billion vaccines done.""

The world's biggest pharmaceutical company is confident it ha…",1245138680660078593,2020-03-31T23:59:29.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'SkyNews'}]}"
34,"All I wanna know is, if we all stay at home what is the plan to have a vaccine? Will it be safe to actually go to the hospital to get the vaccine?",1245138670593556485,2020-03-31T23:59:27.000Z,None
35,COVID-19 vaccine candidates: 6 front-runners  - ABC News - https://t.co/lyOF7sPrH2 via @ABC,1245138669972979715,2020-03-31T23:59:27.000Z,"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/lyOF7sPrH2', 'expanded_url': 'https://abcn.ws/2QZQluJ', 'display_url': 'abcn.ws/2QZQluJ'}], 'mentions': [{'start': 87, 'end': 91, 'username': 'ABC'}], 'annotations': [{'start': 48, 'end': 55, 'probability': 0.7228, 'type': 'Organization', 'normalized_text': 'ABC News'}]}"
36,"RT @Tomas_Verde: This content        a COVID-19 vaccine
 
                       🤝
      inject it to my bloodstream https://t.co/Aidw77DIyp",1245138663224328194,2020-03-31T23:59:25.000Z,"{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/Aidw77DIyp', 'expanded_url': 'https://twitter.com/dog_rates/status/1245045783973552128', 'display_url': 'twitter.com/dog_rates/stat…'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'Tomas_Verde'}]}"
37,"Let's look at the facts.
The OTHER SARS (Covid-19 is also a SARS virus) was in 2003..
They still don't have a vaccine for it..
SOooooo… Whatcha think??

https://t.co/GQ5efWCfmP",1245138657960439808,2020-03-31T23:59:24.000Z,"{'urls': [{'start': 153, 'end': 176, 'url': 'https://t.co/GQ5efWCfmP', 'expanded_url': 'https://www.msn.com/en-us/health/health-news/a-coronavirus-vaccine-in-18-months-experts-are-skeptical/ar-BB11Yzjh?ocid=spartanntp', 'display_url': 'msn.com/en-us/health/h…', 'status': 200, 'unwound_url': 'https://www.msn.com/en-us/health/health-news/a-coronavirus-vaccine-in-18-months-experts-are-skeptical/ar-BB11Yzjh?ocid=spartanntp'}]}"
38,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138654907043842,2020-03-31T23:59:23.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
39,RT @GSK: Defeating #COVID19 requires a collective effort from everyone working in healthcare. We’re collaborating with partners across the…,1245138652893773827,2020-03-31T23:59:23.000Z,"{'mentions': [{'start': 3, 'end': 7, 'username': 'GSK'}], 'hashtags': [{'start': 19, 'end': 27, 'tag': 'COVID19'}]}"
40,RT @CarlosHappyNPO: For those who wanted a world with no vaccines... here’s the world without ONE vaccine.,1245138652310585344,2020-03-31T23:59:22.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'CarlosHappyNPO'}]}"
41,RT @ForbesTech: The U.S. just signed a $450 million coronavirus vaccine contract with Johnson &amp; Johnson https://t.co/dEOO4L5t4V by @iblamet…,1245138650213515264,2020-03-31T23:59:22.000Z,"{'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/dEOO4L5t4V', 'expanded_url': 'http://on.forbes.com/60131acOB', 'display_url': 'on.forbes.com/60131acOB'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'ForbesTech'}], 'annotations': [{'start': 20, 'end': 23, 'probability': 0.7441, 'type': 'Place', 'normalized_text': 'U.S.'}, {'start': 86, 'end': 92, 'probability': 0.8986, 'type': 'Person', 'normalized_text': 'Johnson'}, {'start': 96, 'end': 102, 'probability': 0.7317, 'type': 'Person', 'normalized_text': 'Johnson'}]}"
