,text,id,created_at,entities
0,"RT @journo_dale: And now Poilievre rails about the vaccine, the “national credit card,” and unemployment rates which are not cross-comparab…",1333561442801475585,2020-11-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'journo_dale'}]}"
1,RT @_meganseymour_: If Oxford uni have got the Union Jack printed on their covid vaccine then Dolly Parton should decorate hers w pink glit…,1333561440230404098,2020-11-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': '_meganseymour_'}], 'annotations': [{'start': 23, 'end': 28, 'probability': 0.4491, 'type': 'Organization', 'normalized_text': 'Oxford'}, {'start': 47, 'end': 56, 'probability': 0.3842, 'type': 'Organization', 'normalized_text': 'Union Jack'}, {'start': 94, 'end': 105, 'probability': 0.9961, 'type': 'Person', 'normalized_text': 'Dolly Parton'}]}"
2,"RT @mini_bubbly: In the two weeks, the CONS have been called out for their lies and misleading statements, by the Mexico Ambassador, Modern…",1333561439794163717,2020-11-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'mini_bubbly'}], 'annotations': [{'start': 114, 'end': 119, 'probability': 0.4788, 'type': 'Place', 'normalized_text': 'Mexico'}]}"
3,"RT @PressSec: President @realDonaldTrump's Operation Warp Speed has been an astounding success, delivering multiple vaccines in RECORD time…",1333561439739527168,2020-11-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'PressSec'}, {'start': 24, 'end': 40, 'username': 'realDonaldTrump'}]}"
4,escola moderna sendo citada na aula da licenciatura. ✨✨✨,1333561439391522825,2020-11-30T23:59:58.000Z,None
5,RT @AyannaPressley: Black Lives Matter also means: 1) Any vaccine must have efficacy for those w high blood pressure &amp; diabetes 2) Priority…,1333561438867255299,2020-11-30T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AyannaPressley'}]}"
6,@NickiZvik @Hamptainment @GavinNewsom That’s not the point I’m making. For you to say “you better not take credit” shows how brainwashed you are. It’s not about getting credit. It’s about getting this vaccine out so this pandemic can be over.,1333561437734670337,2020-11-30T23:59:57.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'NickiZvik'}, {'start': 11, 'end': 24, 'username': 'Hamptainment'}, {'start': 25, 'end': 37, 'username': 'GavinNewsom'}]}"
7,@0xValkyrie A vaccine and some actual cooperation from all governments to make it mandatory because people will refuse to take it and continue the current trend which needs to end.,1333561437642510336,2020-11-30T23:59:57.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': '0xValkyrie'}]}"
8,"RT @LBilderberg: So the minister responsible for rolling out the vaccine, Nadhim Zahawi, has just admitted the govt are thinking about roll…",1333561436145143811,2020-11-30T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'LBilderberg'}], 'annotations': [{'start': 74, 'end': 86, 'probability': 0.914, 'type': 'Person', 'normalized_text': 'Nadhim Zahawi'}]}"
9,"Moderna  exec. Said; “we hope it works”, on NBC Nightly News.  We HOPE IT WORKS! https://t.co/2t1R1Awe3h",1333561435805396992,2020-11-30T23:59:57.000Z,"{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/2t1R1Awe3h', 'expanded_url': 'https://twitter.com/i2tis/status/1333561435805396992/photo/1', 'display_url': 'pic.twitter.com/2t1R1Awe3h'}], 'annotations': [{'start': 0, 'end': 6, 'probability': 0.4763, 'type': 'Organization', 'normalized_text': 'Moderna'}, {'start': 44, 'end': 59, 'probability': 0.8024, 'type': 'Organization', 'normalized_text': 'NBC Nightly News'}]}"
10,RT @padraicor: Prophet of doom Sam McConkey on RTE again now pouring cold water over the vaccines. 'We don't have the data yet but it's usu…,1333561434702311425,2020-11-30T23:59:57.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'padraicor'}], 'annotations': [{'start': 31, 'end': 42, 'probability': 0.8874, 'type': 'Person', 'normalized_text': 'Sam McConkey'}, {'start': 47, 'end': 49, 'probability': 0.4898, 'type': 'Place', 'normalized_text': 'RTE'}]}"
11,RT @AyannaPressley: Black Lives Matter also means: 1) Any vaccine must have efficacy for those w high blood pressure &amp; diabetes 2) Priority…,1333561433909555201,2020-11-30T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AyannaPressley'}]}"
12,"RT @DeadlineWH: ""The centrality, logistically speaking, is why Cedars Sinai was so well equipped... They have these ultra-cold storage free…",1333561432915361792,2020-11-30T23:59:56.000Z,"{'mentions': [{'start': 3, 'end': 14, 'username': 'DeadlineWH'}], 'annotations': [{'start': 63, 'end': 74, 'probability': 0.3234, 'type': 'Person', 'normalized_text': 'Cedars Sinai'}]}"
