,text,id,created_at,entities
0,"RT @badc0da: ""Artificial Intelligence Applied to in vitro Gene Expression Testing (IVIGET) to Predict Trivalent Inactivated Influenza Vacci…",1322689804446896128,2020-10-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'badc0da'}]}"
1,RT @Reuters: Vaccine prospects to give reason for optimism by spring 2021 - Johnson https://t.co/DwfISEPv9w https://t.co/ivyp0ZlYZL,1322689804102979584,2020-10-31T23:59:58.000Z,"{'mentions': [{'start': 3, 'end': 11, 'username': 'Reuters'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/DwfISEPv9w', 'expanded_url': 'http://reut.rs/3215TnD', 'display_url': 'reut.rs/3215TnD', 'images': [{'url': 'https://pbs.twimg.com/news_img/1325234278783979520/IkLdkj6-?format=jpg&name=orig', 'width': 800, 'height': 497}, {'url': 'https://pbs.twimg.com/news_img/1325234278783979520/IkLdkj6-?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Vaccine prospects to give reason for optimism by spring 2021 - Johnson', 'description': 'The prospect of a vaccine in the first quarter of 2021 gives reason for optimism that the spring will be better, British Prime Minister Boris Johnson said on Saturday, after he announced a new national lockdown for England until December.', 'unwound_url': 'https://www.reuters.com/article/uk-health-coronavirus-britain-vaccine-idUKKBN27G0TY?taid=5f9df9555be18d0001a785de&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter'}, {'start': 108, 'end': 131, 'url': 'https://t.co/ivyp0ZlYZL', 'expanded_url': 'https://twitter.com/Reuters/status/1322688564380000259/photo/1', 'display_url': 'pic.twitter.com/ivyp0ZlYZL'}], 'annotations': [{'start': 76, 'end': 82, 'probability': 0.765, 'type': 'Person', 'normalized_text': 'Johnson'}]}"
2,"@JamessReality I very much doubt he’s awarding any contracts. 

The country will (and has) bought vaccine from anyone selling it.",1322689802408497152,2020-10-31T23:59:57.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'JamessReality'}]}"
3,That vaccine and healthcare plan is due any day now isn't it? https://t.co/ag5EwB8Ziw,1322689800537739266,2020-10-31T23:59:57.000Z,"{'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/ag5EwB8Ziw', 'expanded_url': 'https://twitter.com/GOP/status/1322687332751998981', 'display_url': 'twitter.com/GOP/status/132…'}]}"
4,Looks odd. Like a poor vaccine advert. 🧐🧐🙄 https://t.co/tXzdzZuzCB,1322689792795181056,2020-10-31T23:59:55.000Z,"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/tXzdzZuzCB', 'expanded_url': 'https://twitter.com/halls_uki/status/1317081139216076801', 'display_url': 'twitter.com/halls_uki/stat…'}]}"
5,"RT @Newsweek: ""Where's the vaccine?"" Doctors blast Trump's coronavirus promises ahead of Election Day https://t.co/rzzGvRzSyL",1322689787464241153,2020-10-31T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Newsweek'}], 'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/rzzGvRzSyL', 'expanded_url': 'https://www.newsweek.com/wheres-vaccine-doctors-blast-trumps-coronavirus-promises-ahead-election-day-1543757?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1604158976', 'display_url': 'newsweek.com/wheres-vaccine…'}], 'annotations': [{'start': 51, 'end': 55, 'probability': 0.9929, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 89, 'end': 100, 'probability': 0.7224, 'type': 'Other', 'normalized_text': 'Election Day'}]}"
6,"RT @acnewsitics: On September 17, the White House held a press conference promising 100 million doses of a vaccine by *checks notes* today.…",1322689784351961093,2020-10-31T23:59:53.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'acnewsitics'}], 'annotations': [{'start': 38, 'end': 48, 'probability': 0.7255, 'type': 'Place', 'normalized_text': 'White House'}]}"
7,RT @MollyJongFast: I was told by president trump that there would be a vaccine before Election Day. What happened with that?,1322689773216083969,2020-10-31T23:59:50.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'MollyJongFast'}], 'annotations': [{'start': 43, 'end': 47, 'probability': 0.7053, 'type': 'Person', 'normalized_text': 'trump'}, {'start': 86, 'end': 97, 'probability': 0.8777, 'type': 'Other', 'normalized_text': 'Election Day'}]}"
8,RT @Gabriel_Pogrund: EXC: The chair of the UK's vaccine task force showed “official sensitive” government documents to a $200-a-head event…,1322689772905730049,2020-10-31T23:59:50.000Z,"{'mentions': [{'start': 3, 'end': 19, 'username': 'Gabriel_Pogrund'}], 'annotations': [{'start': 43, 'end': 44, 'probability': 0.938, 'type': 'Place', 'normalized_text': 'UK'}]}"
9,"RT @Newsweek: ""Where's the vaccine?"" Doctors blast Trump's coronavirus promises ahead of Election Day https://t.co/rzzGvRzSyL",1322689769801871360,2020-10-31T23:59:50.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'Newsweek'}], 'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/rzzGvRzSyL', 'expanded_url': 'https://www.newsweek.com/wheres-vaccine-doctors-blast-trumps-coronavirus-promises-ahead-election-day-1543757?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1604158976', 'display_url': 'newsweek.com/wheres-vaccine…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1350990159907577861/nvZm-cDF?format=jpg&name=orig', 'width': 2500, 'height': 1667}, {'url': 'https://pbs.twimg.com/news_img/1350990159907577861/nvZm-cDF?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '""Where\'s the vaccine?"" Doctors blast Trump\'s coronavirus promises ahead of Election Day', 'description': ""Trump's numerous vows to have a COVID-19 vaccine before Election Day have been criticized by physicians who said the unfulfilled campaign promises must stop."", 'unwound_url': 'https://www.newsweek.com/wheres-vaccine-doctors-blast-trumps-coronavirus-promises-ahead-election-day-1543757?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1604158976'}], 'annotations': [{'start': 51, 'end': 55, 'probability': 0.9929, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 89, 'end': 100, 'probability': 0.7224, 'type': 'Other', 'normalized_text': 'Election Day'}]}"
