,text,id,created_at,entities
0,"Chief Science Officer for Pfizer Says Second Wave Was Faked on False-Positive COVID Tests, and that the “Pandemic Is Over” - https://t.co/4sa7ZtdmsF",1311455777928994817,2020-09-30T23:59:57.000Z,"{'urls': [{'start': 125, 'end': 148, 'url': 'https://t.co/4sa7ZtdmsF', 'expanded_url': 'https://needtoknow.news/2020/09/chief-science-officer-for-pfizer-says-second-wave-was-faked-on-false-positive-covid-tests-and-that-the-pandemic-is-over/', 'display_url': 'needtoknow.news/2020/09/chief-…'}]}"
1,RT @CBSNews: Moderna CEO says its coronavirus vaccine won't be ready until spring of next year https://t.co/8ZYUzIy2i9,1311455776981090307,2020-09-30T23:59:57.000Z,"{'annotations': [{'start': 13, 'end': 23, 'probability': 0.5994, 'type': 'Organization', 'normalized_text': 'Moderna CEO'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/8ZYUzIy2i9', 'expanded_url': 'https://cbsn.ws/3iqvDzb', 'display_url': 'cbsn.ws/3iqvDzb'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'CBSNews'}]}"
2,RT @matthewherper: Make no mistake about it: having 7 former FDA commissioners say this is a big deal. Listen. https://t.co/X7kc3aVoPs,1311455773990543360,2020-09-30T23:59:56.000Z,"{'annotations': [{'start': 61, 'end': 63, 'probability': 0.9383, 'type': 'Organization', 'normalized_text': 'FDA'}], 'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/X7kc3aVoPs', 'expanded_url': 'https://www.washingtonpost.com/opinions/2020/09/29/former-fda-commissioners-coronavirus-vaccine-trump/', 'display_url': 'washingtonpost.com/opinions/2020/…'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'matthewherper'}]}"
3,RT @CBSNews: Moderna CEO says its coronavirus vaccine won't be ready until spring of next year https://t.co/8ZYUzIy2i9,1311455773134909442,2020-09-30T23:59:56.000Z,"{'annotations': [{'start': 13, 'end': 23, 'probability': 0.5994, 'type': 'Organization', 'normalized_text': 'Moderna CEO'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/8ZYUzIy2i9', 'expanded_url': 'https://cbsn.ws/3iqvDzb', 'display_url': 'cbsn.ws/3iqvDzb'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'CBSNews'}]}"
4,"RT @JimPethokoukis: GOLDMAN SACHS: ""A Biden win, especially in a ""blue wave"", would likely mean greater fiscal stimulus, more cyclical upsi…",1311455766046367744,2020-09-30T23:59:54.000Z,"{'annotations': [{'start': 20, 'end': 32, 'probability': 0.4462, 'type': 'Person', 'normalized_text': 'GOLDMAN SACHS'}, {'start': 38, 'end': 42, 'probability': 0.9745, 'type': 'Person', 'normalized_text': 'Biden'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'JimPethokoukis'}]}"
5,RT @opropriolavo: A história da ciência moderna tal como se ensina nas escolas merece tanto crédito quanto as aventuras dos três porquinhos.,1311455763802488832,2020-09-30T23:59:54.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'opropriolavo'}]}"
6,"RT @WSJheard: Disney is really counting on a Covid vaccine soon, but ""magic pills only work in fairy tales"" says @djtgallagher https://t.co…",1311455752519852034,2020-09-30T23:59:51.000Z,"{'annotations': [{'start': 14, 'end': 19, 'probability': 0.4745, 'type': 'Organization', 'normalized_text': 'Disney'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'WSJheard'}, {'start': 113, 'end': 126, 'username': 'djtgallagher'}]}"
7,"RT @WesElyMD: #COVID19 Vaccine for #OLDER Pts: NEJM
 
N=40, ~69 yrs old. Great news 👍in Phase I study that excellent neutralizing Ab &amp; T-ce…",1311455751492300805,2020-09-30T23:59:51.000Z,"{'hashtags': [{'start': 14, 'end': 22, 'tag': 'COVID19'}, {'start': 35, 'end': 41, 'tag': 'OLDER'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'WesElyMD'}]}"
8,"RT @hiyori13: ビル・ゲイツが100億ドル投資して途上国でのワクチン接種を進めまくっていて、それがもたらした社会便益は2000億ドル。すばらしい。
　ところが反ワクチンのバカどもがそれを歪曲して、ビルゲイツがワクチンで2000億ドル儲けた、と騒いでいるんだとさ。やれ…",1311455748228960256,2020-09-30T23:59:50.000Z,"{'mentions': [{'start': 3, 'end': 12, 'username': 'hiyori13'}]}"
9,RT @VeilLifter: Is COVID and the vaccine a distraction from the plasma event/great conjuction at the end of the year?,1311455747037945857,2020-09-30T23:59:50.000Z,None
10,"RT @TeaPainUSA: There will be no ""election vaccine"".  Pass it on. https://t.co/1lJTLrVV5g",1311455743074340864,2020-09-30T23:59:49.000Z,"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/1lJTLrVV5g', 'expanded_url': 'https://twitter.com/CBSNews/status/1311448238499737606', 'display_url': 'twitter.com/CBSNews/status…'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'TeaPainUSA'}]}"
11,@EricTopol @TaisonBell @US_FDA @PostOpinions Of course this comes from a BIDEN Adviser! You people politicizing the vaccine is PATHETIC!!,1311455741144948736,2020-09-30T23:59:49.000Z,"{'annotations': [{'start': 73, 'end': 85, 'probability': 0.4321, 'type': 'Person', 'normalized_text': 'BIDEN Adviser'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'EricTopol'}, {'start': 11, 'end': 22, 'username': 'TaisonBell'}, {'start': 23, 'end': 30, 'username': 'US_FDA'}, {'start': 31, 'end': 44, 'username': 'PostOpinions'}]}"
12,"RT @E_Blackbeard: Any vaccine made available now should be tested on politicians first. If they survive, the vaccines is safe. If they don’…",1311455739974545408,2020-09-30T23:59:48.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'E_Blackbeard'}]}"
13,RT @CBSNews: Moderna CEO says its coronavirus vaccine won't be ready until spring of next year https://t.co/8ZYUzIy2i9,1311455738708066305,2020-09-30T23:59:48.000Z,"{'annotations': [{'start': 13, 'end': 23, 'probability': 0.5994, 'type': 'Organization', 'normalized_text': 'Moderna CEO'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/8ZYUzIy2i9', 'expanded_url': 'https://cbsn.ws/3iqvDzb', 'display_url': 'cbsn.ws/3iqvDzb'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'CBSNews'}]}"
14,"@Baddiel Basically, if you wanted to convince many people the queen was a lizard in 1850, you had to really put the work in.  Of course the Church managed it, but at least they had to try harder than some dick tweeting about 5G and vaccines.",1311455735658749953,2020-09-30T23:59:47.000Z,"{'mentions': [{'start': 0, 'end': 8, 'username': 'Baddiel'}]}"
15,"if you are planning to take the Trump vaccine, you should be aware of what's in it.
https://t.co/dMGhiExFwu",1311455731288281089,2020-09-30T23:59:46.000Z,"{'annotations': [{'start': 32, 'end': 36, 'probability': 0.9809, 'type': 'Person', 'normalized_text': 'Trump'}], 'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/dMGhiExFwu', 'expanded_url': 'https://youtu.be/809iSyjwGi0', 'display_url': 'youtu.be/809iSyjwGi0'}]}"
16,"RT @korimaru0206: HPVワクチン
「医師の娘は皆接種している」
というのは事実ではない。

この調査では84%の産婦人科医が自分の10代の娘にHPVワクチンを接種していない。
""前回調査(2016年)では、産婦人科医自身が10代の娘たちにHPVワクチンを接種し…",1311455716092211200,2020-09-30T23:59:43.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'korimaru0206'}]}"
17,"#StopTechnocracy #IWillNotComply #maskoff 
Australian state law empowers officials to forcibly remove underwear to administer vaccine | News | LifeSite https://t.co/E2YNlXADbB",1311455705719861250,2020-09-30T23:59:40.000Z,"{'urls': [{'start': 152, 'end': 175, 'url': 'https://t.co/E2YNlXADbB', 'expanded_url': 'https://www.lifesitenews.com/news/australian-state-law-empowers-officials-to-forcibly-remove-underwear-to-administer-vaccine', 'display_url': 'lifesitenews.com/news/australia…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1364111124044550144/TXHMs2gI?format=jpg&name=orig', 'width': 1024, 'height': 512}, {'url': 'https://pbs.twimg.com/news_img/1364111124044550144/TXHMs2gI?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Australian state law empowers officials to forcibly remove underwear to administer vaccine', 'description': 'Law enforcement has the legal power to remove anything (including underwear) that the relevant person is wearing if its determined that that person must be vaccinated.', 'unwound_url': 'https://www.lifesitenews.com/news/australian-state-law-empowers-officials-to-forcibly-remove-underwear-to-administer-vaccine'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'StopTechnocracy'}, {'start': 17, 'end': 32, 'tag': 'IWillNotComply'}, {'start': 33, 'end': 41, 'tag': 'maskoff'}]}"
18,RT @CBSNews: Moderna CEO says its coronavirus vaccine won't be ready until spring of next year https://t.co/8ZYUzIy2i9,1311455698526576641,2020-09-30T23:59:38.000Z,"{'annotations': [{'start': 13, 'end': 23, 'probability': 0.5994, 'type': 'Organization', 'normalized_text': 'Moderna CEO'}], 'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/8ZYUzIy2i9', 'expanded_url': 'https://cbsn.ws/3iqvDzb', 'display_url': 'cbsn.ws/3iqvDzb'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'CBSNews'}]}"
